n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups
5,1.0,short,low,42,M1 optimized,2,4.0,0.015440940856933594,0.05541110038757324,,2
5,1.0,short,low,42,M2 optimized,2,4.0,0.0006570816040039062,0.0013189315795898438,,2
5,1.0,short,low,42,M3 optimized,2,4.0,0.000985860824584961,0.002332925796508789,,2
5,1.0,short,low,43,M1 optimized,2,6.0,0.0018148422241210938,0.003039121627807617,,3
5,1.0,short,low,43,M2 optimized,2,6.0,0.0008809566497802734,0.0015630722045898438,,3
5,1.0,short,low,43,M3 optimized,2,6.0,0.00043487548828125,0.0009407997131347656,,3
5,1.0,short,low,44,M1 optimized,2,4.0,0.0017321109771728516,0.002723217010498047,,2
5,1.0,short,low,44,M2 optimized,2,4.0,0.00047087669372558594,0.0009808540344238281,,2
5,1.0,short,low,44,M3 optimized,2,4.0,0.0004029273986816406,0.0008521080017089844,,2
5,1.0,short,low,45,M1 optimized,2,4.0,0.0016329288482666016,0.0025069713592529297,,2
5,1.0,short,low,45,M2 optimized,2,4.0,0.0004699230194091797,0.0009379386901855469,,2
5,1.0,short,low,45,M3 optimized,2,4.0,0.0004038810729980469,0.0008227825164794922,,2
5,1.0,short,low,46,M1 optimized,2,4.0,0.0017609596252441406,0.002624034881591797,,2
5,1.0,short,low,46,M2 optimized,2,4.0,0.0005700588226318359,0.0010433197021484375,,2
5,1.0,short,low,46,M3 optimized,2,4.0,0.0004260540008544922,0.0008440017700195312,,2
5,1.0,short,high,42,M1 optimized,2,4.0,0.0007181167602539062,0.0019447803497314453,,2
5,1.0,short,high,42,M2 optimized,2,4.0,0.00037384033203125,0.0009148120880126953,,2
5,1.0,short,high,42,M3 optimized,2,4.0,0.0008299350738525391,0.001249074935913086,,2
5,1.0,short,high,43,M1 optimized,2,8.0,0.0012118816375732422,0.002343893051147461,,4
5,1.0,short,high,43,M2 optimized,2,8.0,0.001293182373046875,0.0020720958709716797,,4
5,1.0,short,high,43,M3 optimized,2,8.0,0.0002238750457763672,0.0005660057067871094,,4
5,1.0,short,high,44,M1 optimized,2,6.0,0.0027008056640625,0.005061149597167969,,3
5,1.0,short,high,44,M2 optimized,2,6.0,0.000885009765625,0.0014691352844238281,,3
5,1.0,short,high,44,M3 optimized,2,6.0,0.0008261203765869141,0.001300811767578125,,3
5,1.0,short,high,45,M1 optimized,2,6.0,0.0012960433959960938,0.0023419857025146484,,3
5,1.0,short,high,45,M2 optimized,2,6.0,0.0007250308990478516,0.0013849735260009766,,3
5,1.0,short,high,45,M3 optimized,2,6.0,0.0004298686981201172,0.0008749961853027344,,3
5,1.0,short,high,46,M1 optimized,2,6.0,0.0006251335144042969,0.0015270709991455078,,3
5,1.0,short,high,46,M2 optimized,2,6.0,0.0002741813659667969,0.0007448196411132812,,3
5,1.0,short,high,46,M3 optimized,2,6.0,0.0003459453582763672,0.0006861686706542969,,3
