n,s_factor,duration,size,model,mean_runtime,optimal_count,timelimit_count,num_instances
5,1.0,short,low,M1 optimized,0.004476356506347656,5,0,5
5,1.0,short,low,M2 optimized,0.0006097793579101562,5,0,5
5,1.0,short,low,M3 optimized,0.0005307197570800781,5,0,5
5,1.0,short,high,M1 optimized,0.0013103961944580078,5,0,5
5,1.0,short,high,M2 optimized,0.0007102489471435547,5,0,5
5,1.0,short,high,M3 optimized,0.000531148910522461,5,0,5
5,1.0,long,low,M1 optimized,0.0020852088928222656,5,0,5
5,1.0,long,low,M2 optimized,0.000621175765991211,5,0,5
5,1.0,long,low,M3 optimized,0.0004975795745849609,5,0,5
5,1.0,long,high,M1 optimized,0.001136445999145508,5,0,5
5,1.0,long,high,M2 optimized,0.0005486488342285156,5,0,5
5,1.0,long,high,M3 optimized,0.00040516853332519533,5,0,5
5,1.2,short,low,M1 optimized,0.0018506050109863281,5,0,5
5,1.2,short,low,M2 optimized,0.0005675792694091797,5,0,5
5,1.2,short,low,M3 optimized,0.0004758358001708984,5,0,5
5,1.2,short,high,M1 optimized,0.0012613773345947266,5,0,5
5,1.2,short,high,M2 optimized,0.0005109786987304687,5,0,5
5,1.2,short,high,M3 optimized,0.0004383563995361328,5,0,5
5,1.2,long,low,M1 optimized,0.002170848846435547,5,0,5
5,1.2,long,low,M2 optimized,0.0007114410400390625,5,0,5
5,1.2,long,low,M3 optimized,0.0005290985107421875,5,0,5
5,1.2,long,high,M1 optimized,0.0009734153747558594,5,0,5
5,1.2,long,high,M2 optimized,0.0005385875701904297,5,0,5
5,1.2,long,high,M3 optimized,0.00038228034973144533,5,0,5
10,1.0,short,low,M1 optimized,0.012358570098876953,5,0,5
10,1.0,short,low,M2 optimized,0.002737617492675781,5,0,5
10,1.0,short,low,M3 optimized,0.0014400005340576172,5,0,5
10,1.0,short,high,M1 optimized,0.005194425582885742,5,0,5
10,1.0,short,high,M2 optimized,0.0030103206634521486,5,0,5
10,1.0,short,high,M3 optimized,0.0011370658874511718,5,0,5
10,1.0,long,low,M1 optimized,0.00924997329711914,5,0,5
10,1.0,long,low,M2 optimized,0.003923749923706055,5,0,5
10,1.0,long,low,M3 optimized,0.001890087127685547,5,0,5
10,1.0,long,high,M1 optimized,0.005044031143188477,5,0,5
10,1.0,long,high,M2 optimized,0.002856016159057617,5,0,5
10,1.0,long,high,M3 optimized,0.0009483814239501954,5,0,5
10,1.2,short,low,M1 optimized,0.008409404754638672,5,0,5
10,1.2,short,low,M2 optimized,0.002661609649658203,5,0,5
10,1.2,short,low,M3 optimized,0.002624797821044922,5,0,5
10,1.2,short,high,M1 optimized,0.006420660018920899,5,0,5
10,1.2,short,high,M2 optimized,0.002292823791503906,5,0,5
10,1.2,short,high,M3 optimized,0.0011170864105224609,5,0,5
10,1.2,long,low,M1 optimized,0.00934758186340332,5,0,5
10,1.2,long,low,M2 optimized,0.0019454479217529297,5,0,5
10,1.2,long,low,M3 optimized,0.0015157222747802734,5,0,5
10,1.2,long,high,M1 optimized,0.0060089111328125,5,0,5
10,1.2,long,high,M2 optimized,0.0026621341705322264,5,0,5
10,1.2,long,high,M3 optimized,0.0010529518127441405,5,0,5
15,1.0,short,low,M1 optimized,0.06448564529418946,5,0,5
15,1.0,short,low,M2 optimized,0.04165387153625488,5,0,5
15,1.0,short,low,M3 optimized,0.006591176986694336,5,0,5
15,1.0,short,high,M1 optimized,0.02821197509765625,5,0,5
15,1.0,short,high,M2 optimized,0.007850551605224609,5,0,5
15,1.0,short,high,M3 optimized,0.002278566360473633,5,0,5
15,1.0,long,low,M1 optimized,0.0216036319732666,5,0,5
15,1.0,long,low,M2 optimized,0.006370401382446289,5,0,5
15,1.0,long,low,M3 optimized,0.0035983562469482423,5,0,5
15,1.0,long,high,M1 optimized,0.03675642013549805,5,0,5
15,1.0,long,high,M2 optimized,0.007910585403442383,5,0,5
15,1.0,long,high,M3 optimized,0.0019059181213378906,5,0,5
15,1.2,short,low,M1 optimized,0.07209539413452148,5,0,5
15,1.2,short,low,M2 optimized,0.011039209365844727,5,0,5
15,1.2,short,low,M3 optimized,0.020322561264038086,5,0,5
15,1.2,short,high,M1 optimized,0.028905820846557618,5,0,5
15,1.2,short,high,M2 optimized,0.010815000534057618,5,0,5
15,1.2,short,high,M3 optimized,0.003310871124267578,5,0,5
15,1.2,long,low,M1 optimized,0.023649978637695312,5,0,5
15,1.2,long,low,M2 optimized,0.005010175704956055,5,0,5
15,1.2,long,low,M3 optimized,0.0033896446228027345,5,0,5
15,1.2,long,high,M1 optimized,0.034791183471679685,5,0,5
15,1.2,long,high,M2 optimized,0.00985703468322754,5,0,5
15,1.2,long,high,M3 optimized,0.002449178695678711,5,0,5
20,1.0,short,low,M1 optimized,0.24448490142822266,5,0,5
20,1.0,short,low,M2 optimized,0.05426745414733887,5,0,5
20,1.0,short,low,M3 optimized,0.02806429862976074,5,0,5
20,1.0,short,high,M1 optimized,0.3497937679290771,5,0,5
20,1.0,short,high,M2 optimized,0.1235461711883545,5,0,5
20,1.0,short,high,M3 optimized,0.01302804946899414,5,0,5
20,1.0,long,low,M1 optimized,5.501374197006226,5,0,5
20,1.0,long,low,M2 optimized,0.5219786167144775,5,0,5
20,1.0,long,low,M3 optimized,0.017598581314086915,5,0,5
20,1.0,long,high,M1 optimized,0.25812616348266604,5,0,5
