T_size,class,instance_id,seed,n_jobs,job_bin,model,runtime,status,obj,optimal,error
3,I,0,300042,12,10-19,M1 reduced,0.11209616699488834,2,12.0,True,
3,I,0,300042,12,10-19,M2 reduced,0.015133291992242448,2,12.0,True,
3,I,0,300042,12,10-19,M3 reduced,0.01020658299967181,2,12.0,True,
3,I,1,300043,12,10-19,M1 reduced,0.015427708989591338,2,12.0,True,
3,I,1,300043,12,10-19,M2 reduced,0.01394366599561181,2,12.0,True,
3,I,1,300043,12,10-19,M3 reduced,0.006917582999449223,2,12.0,True,
3,I,2,300044,12,10-19,M1 reduced,0.03637183300452307,2,12.0,True,
3,I,2,300044,12,10-19,M2 reduced,0.022840124991489574,2,12.0,True,
3,I,2,300044,12,10-19,M3 reduced,0.008480791992042214,2,12.0,True,
3,III,0,302042,23,20-29,M1 reduced,0.0835324999934528,2,26.0,True,
3,III,0,302042,23,20-29,M2 reduced,0.06825508299516514,2,26.0,True,
3,III,0,302042,23,20-29,M3 reduced,0.03022916599002201,2,26.0,True,
3,III,1,302043,24,20-29,M1 reduced,0.05002629199589137,2,30.0,True,
3,III,1,302043,24,20-29,M2 reduced,0.05534312500094529,2,30.0,True,
3,III,1,302043,24,20-29,M3 reduced,0.01589879200037103,2,30.0,True,
3,III,2,302044,24,20-29,M1 reduced,0.06250233299215324,2,28.0,True,
3,III,2,302044,24,20-29,M2 reduced,0.05244379199575633,2,28.0,True,
3,III,2,302044,24,20-29,M3 reduced,0.01606375000847038,2,28.0,True,
3,V,0,304042,36,30-39,M1 reduced,0.24165137500676792,2,36.0,True,
3,V,0,304042,36,30-39,M2 reduced,0.3721329170075478,2,36.0,True,
3,V,0,304042,36,30-39,M3 reduced,0.10624966699106153,2,36.0,True,
3,V,1,304043,35,30-39,M1 reduced,0.08708691599895246,2,46.0,True,
3,V,1,304043,35,30-39,M2 reduced,0.1412339590024203,2,46.0,True,
3,V,1,304043,35,30-39,M3 reduced,0.033047582997824065,2,46.0,True,
3,V,2,304044,35,30-39,M1 reduced,0.2002210000064224,2,36.0,True,
3,V,2,304044,35,30-39,M2 reduced,0.4138131250074366,2,36.0,True,
3,V,2,304044,35,30-39,M3 reduced,0.05166020900651347,2,36.0,True,
5,I,0,500042,14,10-19,M1 reduced,0.044433415998355485,2,16.0,True,
5,I,0,500042,14,10-19,M2 reduced,0.025181208999129012,2,16.0,True,
5,I,0,500042,14,10-19,M3 reduced,0.009468083007959649,2,16.0,True,
5,I,1,500043,14,10-19,M1 reduced,0.025685582993901335,2,12.0,True,
5,I,1,500043,14,10-19,M2 reduced,0.019113792004645802,2,12.0,True,
