T_size,class,instance_id,seed,n_jobs,model,runtime,status,obj,optimal,error
10,I,0,1000042,19,M1 reduced,0.09323262500402052,2,14.0,True,
10,I,0,1000042,19,M2 reduced,0.029276707995450124,2,14.0,True,
10,I,0,1000042,19,M3 reduced,0.008268042001873255,2,14.0,True,
10,I,1,1000043,19,M1 reduced,0.02902275000087684,2,12.0,True,
10,I,1,1000043,19,M2 reduced,0.018704458001593594,2,12.0,True,
10,I,1,1000043,19,M3 reduced,0.011466333002317697,2,12.0,True,
10,I,2,1000044,19,M1 reduced,0.03155220799817471,2,18.0,True,
10,I,2,1000044,19,M2 reduced,0.024650250001286622,2,18.0,True,
10,I,2,1000044,19,M3 reduced,0.007081415998982266,2,18.0,True,
10,III,0,1002042,37,M1 reduced,0.10806841599696781,2,28.0,True,
10,III,0,1002042,37,M2 reduced,0.136517291997734,2,28.0,True,
10,III,0,1002042,37,M3 reduced,0.04214562499691965,2,28.0,True,
10,III,1,1002043,36,M1 reduced,0.2861806250002701,2,22.0,True,
10,III,1,1002043,36,M2 reduced,0.19012662499881117,2,22.0,True,
10,III,1,1002043,36,M3 reduced,0.0923893329963903,2,22.0,True,
10,III,2,1002044,35,M1 reduced,0.7751912919993629,2,28.0,True,
10,III,2,1002044,35,M2 reduced,0.51332816699869,2,28.0,True,
10,III,2,1002044,35,M3 reduced,0.09455220800009556,2,28.0,True,
10,V,0,1004042,55,M1 reduced,2.5216731670006993,2,32.0,True,
10,V,0,1004042,55,M2 reduced,0.6923447089939145,2,32.0,True,
10,V,0,1004042,55,M3 reduced,0.29689866700209677,2,32.0,True,
10,V,1,1004043,53,M1 reduced,4.2001419169973815,2,44.0,True,
10,V,1,1004043,53,M2 reduced,1.3244475839965162,2,44.0,True,
10,V,1,1004043,53,M3 reduced,0.1519203749994631,2,44.0,True,
10,V,2,1004044,53,M1 reduced,0.3089798750006594,2,42.0,True,
10,V,2,1004044,53,M2 reduced,0.40652454199880594,2,42.0,True,
10,V,2,1004044,53,M3 reduced,0.14150016699568368,2,42.0,True,
15,I,0,1500042,24,M1 reduced,0.07779650000156835,2,14.0,True,
15,I,0,1500042,24,M2 reduced,0.043395916996814776,2,14.0,True,
15,I,0,1500042,24,M3 reduced,0.027152833994477987,2,14.0,True,
15,I,1,1500043,24,M1 reduced,0.052431333002459724,2,14.0,True,
15,I,1,1500043,24,M2 reduced,0.04438708399538882,2,14.0,True,
15,I,1,1500043,24,M3 reduced,0.028266458997677546,2,14.0,True,
15,I,2,1500044,24,M1 reduced,0.15189749999990454,2,18.0,True,
15,I,2,1500044,24,M2 reduced,0.08509616700030165,2,18.0,True,
15,I,2,1500044,24,M3 reduced,0.027478541996970307,2,18.0,True,
15,III,0,1502042,48,M1 reduced,0.6146134170048754,2,26.0,True,
15,III,0,1502042,48,M2 reduced,0.6813609159944463,2,26.0,True,
15,III,0,1502042,48,M3 reduced,0.47855183399951784,2,26.0,True,
15,III,1,1502043,47,M1 reduced,1.9597484580008313,2,28.0,True,
15,III,1,1502043,47,M2 reduced,1.5781502080062637,2,28.0,True,
15,III,1,1502043,47,M3 reduced,0.18733991600311128,2,28.0,True,
15,III,2,1502044,45,M1 reduced,122.86709325000265,2,26.0,True,
15,III,2,1502044,45,M2 reduced,1800.063683667002,9,26.0,False,
15,III,2,1502044,45,M3 reduced,231.8078377089987,2,26.0,True,
15,V,0,1504042,70,M1 reduced,74.30131450000044,2,38.0,True,
15,V,0,1504042,70,M2 reduced,33.29814116700436,2,38.0,True,
15,V,0,1504042,70,M3 reduced,588.9911021670123,2,38.0,True,
15,V,1,1504043,68,M1 reduced,3.028567834000569,2,38.0,True,
15,V,1,1504043,68,M2 reduced,16.77928979200078,2,38.0,True,
15,V,1,1504043,68,M3 reduced,1.2230582909978693,2,38.0,True,
15,V,2,1504044,68,M1 reduced,2.9585552909993567,2,42.0,True,
15,V,2,1504044,68,M2 reduced,6.199317791993963,2,42.0,True,
15,V,2,1504044,68,M3 reduced,0.6643313749955269,2,42.0,True,
