n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
25,1.0,short,low,42,M1 Base,2,14.0,1.7959001064300537,2.6266980171203613,7,"[(0, 7), (0, 24), (3, 22), (4, 10), (7, 9), (9, 2), (10, 21)]",1825,3325
25,1.0,short,low,42,M1 Opt,2,14.0,1.859605073928833,1.8805110454559326,7,7,998,1907
25,1.0,short,low,43,M1 Base,2,16.0,29.092665195465088,29.13723397254944,8,"[(0, 24), (1, 23), (3, 22), (4, 21), (8, 20), (10, 19), (12, 18), (19, 17)]",1850,3400
25,1.0,short,low,43,M1 Opt,2,16.0,0.21438312530517578,0.24367380142211914,8,8,1056,2035
25,1.0,short,low,44,M1 Base,2,18.0,55.90700697898865,55.96132302284241,9,"[(0, 24), (1, 23), (2, 22), (3, 21), (5, 20), (8, 19), (10, 18), (16, 17), (20, 16)]",1925,3525
25,1.0,short,low,44,M1 Opt,2,18.0,12.226831912994385,12.256951093673706,9,9,1098,2111
25,1.0,short,low,45,M1 Base,2,14.0,1.4859659671783447,1.5325679779052734,7,"[(0, 24), (5, 18), (8, 0), (9, 5), (9, 15), (10, 4), (19, 10)]",1750,3150
25,1.0,short,low,45,M1 Opt,2,14.0,0.1419360637664795,0.1660299301147461,7,7,955,1808
25,1.0,short,low,46,M1 Base,2,16.0,1.1666498184204102,1.2088189125061035,8,"[(1, 0), (1, 15), (2, 22), (3, 6), (3, 10), (4, 13), (10, 14), (14, 1)]",1650,3000
25,1.0,short,low,46,M1 Opt,2,16.0,0.09162402153015137,0.11361813545227051,8,8,928,1775
25,1.0,short,high,42,M1 Base,2,20.0,2.0501859188079834,2.0959458351135254,10,"[(0, 8), (0, 24), (3, 0), (4, 16), (7, 1), (7, 23), (9, 6), (11, 10), (12, 4), (12, 19)]",1825,3325
25,1.0,short,high,42,M1 Opt,2,20.0,0.30118799209594727,0.32475900650024414,10,10,998,1907
25,1.0,short,high,43,M1 Base,2,27.0,0.5757648944854736,0.6246669292449951,13,"[(0, 24), (1, 22), (1, 23), (3, 21), (4, 20), (8, 19), (10, 17), (10, 18), (11, 16), (12, 15), (14, 14), (15, 13), (19, 12), (19, 20)]",1850,3400
25,1.0,short,high,43,M1 Opt,2,27.0,0.12266898155212402,0.1489698886871338,13,14,1056,2035
25,1.0,short,high,44,M1 Base,2,26.0,3.3463499546051025,3.3919520378112793,13,"[(0, 6), (1, 4), (1, 22), (1, 24), (3, 1), (3, 21), (5, 19), (6, 18), (8, 14), (13, 0), (14, 5), (14, 13), (18, 11)]",1875,3425
25,1.0,short,high,44,M1 Opt,2,26.0,0.8548321723937988,0.8813340663909912,13,13,1053,2016
25,1.0,short,high,45,M1 Base,2,18.0,1.5176048278808594,1.5631191730499268,9,"[(0, 20), (4, 1), (5, 0), (8, 4), (8, 12), (9, 19), (9, 24), (13, 2), (18, 17)]",1750,3150
25,1.0,short,high,45,M1 Opt,2,18.0,0.4716939926147461,0.4945709705352783,9,9,955,1808
25,1.0,short,high,46,M1 Base,2,20.0,0.6826639175415039,0.752540111541748,10,"[(0, 0), (0, 1), (2, 2), (2, 3), (2, 14), (3, 5), (3, 13), (10, 24), (18, 23), (20, 4)]",1675,3075
25,1.0,short,high,46,M1 Opt,2,20.0,0.24591684341430664,0.268953800201416,10,10,919,1780
25,1.0,long,low,42,M1 Base,9,20.0,900.0688099861145,900.1420159339905,10,"[(0, 24), (4, 23), (7, 22), (8, 21), (9, 20), (11, 19), (12, 18), (18, 17), (22, 16), (25, 15)]",1950,3700
25,1.0,long,low,42,M1 Opt,9,20.0,900.011344909668,900.0825638771057,10,10,1079,2120
25,1.0,long,low,43,M1 Base,2,22.0,108.30296802520752,108.36021399497986,11,"[(0, 24), (1, 23), (3, 22), (8, 20), (8, 21), (11, 19), (15, 18), (17, 17), (18, 16), (19, 15), (20, 14)]",1925,3675
25,1.0,long,low,43,M1 Opt,9,22.0,900.0099477767944,900.0571322441101,11,11,1011,1968
25,1.0,long,low,44,M1 Base,2,20.0,1.9043409824371338,1.9891300201416016,10,"[(0, 17), (1, 0), (1, 2), (1, 12), (3, 1), (3, 7), (5, 22), (7, 18), (8, 4), (18, 24)]",2000,3800
25,1.0,long,low,44,M1 Opt,2,20.0,0.19469118118286133,0.22481584548950195,10,10,1106,2173
25,1.0,long,low,45,M1 Base,2,20.0,7.982844829559326,8.038629055023193,10,"[(0, 24), (4, 23), (8, 22), (9, 21), (11, 20), (17, 19), (21, 18), (22, 17), (23, 16), (25, 15)]",1975,3775
25,1.0,long,low,45,M1 Opt,2,20.0,0.30609607696533203,0.34425997734069824,10,10,1028,2025
25,1.0,long,low,46,M1 Base,2,18.0,1.1189799308776855,1.173962116241455,9,"[(1, 0), (1, 22), (2, 20), (2, 24), (3, 9), (3, 18), (4, 1), (10, 8), (18, 3)]",1750,3300
25,1.0,long,low,46,M1 Opt,2,18.0,0.8460659980773926,0.8772330284118652,9,9,972,1907
25,1.0,long,high,42,M1 Base,2,26.0,0.8616750240325928,0.9140338897705078,13,"[(0, 14), (0, 20), (3, 10), (4, 6), (7, 7), (8, 0), (9, 12), (9, 23), (11, 22), (11, 24), (12, 11), (18, 2), (21, 3)]",1950,3700
25,1.0,long,high,42,M1 Opt,2,26.0,0.5068349838256836,0.5395529270172119,13,13,1079,2120
25,1.0,long,high,43,M1 Base,2,32.0,0.32044100761413574,0.3923821449279785,16,"[(0, 24), (1, 23), (3, 22), (4, 21), (8, 19), (8, 20), (10, 18), (11, 17), (12, 16), (15, 15), (17, 14), (18, 13), (19, 10), (19, 11), (19, 12), (24, 9)]",1925,3675
25,1.0,long,high,43,M1 Opt,2,32.0,0.10714292526245117,0.12999296188354492,16,16,1011,1968
25,1.0,long,high,44,M1 Base,2,28.0,1.1726219654083252,1.2234840393066406,14,"[(0, 24), (1, 23), (2, 22), (3, 21), (5, 20), (6, 19), (8, 18), (9, 17), (13, 16), (15, 15), (16, 14), (18, 13), (21, 12), (22, 11)]",2000,3800
25,1.0,long,high,44,M1 Opt,2,28.0,0.23722410202026367,0.2727539539337158,14,14,1106,2173
25,1.0,long,high,45,M1 Base,2,26.0,0.7946078777313232,0.8522560596466064,13,"[(0, 12), (2, 22), (4, 0), (5, 3), (8, 10), (9, 7), (9, 21), (10, 17), (13, 16), (15, 20), (19, 2), (22, 24), (23, 19)]",1975,3775
25,1.0,long,high,45,M1 Opt,2,26.0,0.18694019317626953,0.22032427787780762,13,13,1028,2025
25,1.0,long,high,46,M1 Base,2,22.0,0.8012189865112305,0.8514397144317627,11,"[(0, 0), (0, 18), (2, 1), (2, 5), (2, 7), (4, 17), (9, 24), (14, 20), (18, 23), (22, 12), (22, 22)]",1725,3225
25,1.0,long,high,46,M1 Opt,2,22.0,0.11398005485534668,0.14362692832946777,11,11,931,1816
25,1.2,short,low,42,M1 Base,2,14.0,2.3516829013824463,2.406018018722534,7,"[(0, 24), (4, 23), (7, 22), (8, 21), (13, 20), (17, 19), (25, 18)]",1925,3475
25,1.2,short,low,42,M1 Opt,2,14.0,0.10132217407226562,0.12913203239440918,7,7,1092,2085
25,1.2,short,low,43,M1 Base,2,14.0,101.33558416366577,101.38156008720398,7,"[(0, 24), (1, 23), (4, 22), (9, 21), (11, 20), (19, 19), (27, 18)]",1825,3325
25,1.2,short,low,43,M1 Opt,2,14.0,0.42424798011779785,0.4624919891357422,7,7,1052,2027
25,1.2,short,low,44,M1 Base,2,16.0,3.605170965194702,3.6773440837860107,8,"[(0, 0), (1, 19), (2, 14), (3, 6), (4, 17), (9, 18), (10, 5), (16, 21)]",1925,3525
25,1.2,short,low,44,M1 Opt,2,16.0,0.14174509048461914,0.1807420253753662,8,8,1092,2099
25,1.2,short,low,45,M1 Base,2,12.0,1.2332301139831543,1.2857389450073242,6,"[(4, 0), (5, 12), (8, 7), (9, 24), (11, 1), (11, 15)]",1775,3175
