n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
25,1.0,short,low,M1 Base,17.889637613296507,1800,3280,5,0,0,5
25,1.0,short,low,M1 Opt,2.906876039505005,1007,1927.2,5,0,0,5
25,1.0,short,high,M1 Base,1.6345139026641846,1795,3275,5,0,0,5
25,1.0,short,high,M1 Opt,0.3992599964141846,996.2,1909.2,5,0,0,5
25,1.0,long,low,M1 Base,203.87558875083923,1920,3650,4,1,0,5
25,1.0,long,low,M1 Opt,360.2736291885376,1039.2,2038.6,3,2,0,5
25,1.0,long,high,M1 Base,0.7901129722595215,1915,3635,5,0,0,5
25,1.0,long,high,M1 Opt,0.23042445182800292,1031,2020.4,5,0,0,5
25,1.2,short,low,M1 Base,22.61814703941345,1865,3395,5,0,0,5
25,1.2,short,low,M1 Opt,0.27498960494995117,1045.2,2003.8,5,0,0,5
25,1.2,short,high,M1 Base,3.258513927459717,1850,3360,5,0,0,5
25,1.2,short,high,M1 Opt,0.34265799522399903,1035.2,1980.6,5,0,0,5
25,1.2,long,low,M1 Base,6.986678791046143,2020,3860,5,0,0,5
25,1.2,long,low,M1 Opt,0.8294657707214356,1112,2193.4,5,0,0,5
25,1.2,long,high,M1 Base,1.3151666164398192,2000,3820,5,0,0,5
25,1.2,long,high,M1 Opt,0.3188528060913086,1103.4,2176.8,5,0,0,5
50,1.0,short,low,M1 Base,371.0173310279846,6980,12540,4,1,0,5
50,1.0,short,low,M1 Opt,2.4229502201080324,3731.6,6949.4,5,0,0,5
50,1.0,short,high,M1 Base,412.6522952079773,6950,12470,3,2,0,5
50,1.0,short,high,M1 Opt,8.659859657287598,3724.8,6931.4,5,0,0,5
50,1.0,long,low,M1 Base,736.3505583763123,7110,13110,1,4,0,5
50,1.0,long,low,M1 Opt,554.2599362373352,3809.2,7275,2,3,0,5
50,1.0,long,high,M1 Base,456.1629234790802,7080,13060,3,2,0,5
50,1.0,long,high,M1 Opt,370.2646879196167,3793.8,7244.8,3,2,0,5
50,1.2,short,low,M1 Base,234.41366839408875,7180,12880,4,1,0,5
50,1.2,short,low,M1 Opt,180.86772022247314,3848,7168.6,4,1,0,5
50,1.2,short,high,M1 Base,481.24330348968505,7100,12680,3,2,0,5
50,1.2,short,high,M1 Opt,182.61831879615784,3790,7031.8,4,1,0,5
50,1.2,long,low,M1 Base,629.4607208251953,7440,13820,2,3,0,5
50,1.2,long,low,M1 Opt,223.88560881614686,3965.6,7603,4,1,0,5
50,1.2,long,high,M1 Base,275.0110659599304,7480,13900,4,1,0,5
50,1.2,long,high,M1 Opt,223.55281920433043,3983.6,7641.4,4,1,0,5
75,1.0,short,low,M1 Base,851.5387517929078,15105,26655,1,4,0,5
75,1.0,short,low,M1 Opt,371.6208385467529,7905.8,14408,3,2,0,5
75,1.0,short,high,M1 Base,900.1810836315155,15150,26760,0,5,0,5
75,1.0,short,high,M1 Opt,120.69743337631226,7909,14412.8,5,0,0,5
