n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,1.0,short,low,42,M1 Base,2,4.0,0.015710115432739258,0.37903785705566406,2,"[(0, 1), (2, 2)]",39,75
3,1.0,short,low,42,M1 Opt,2,4.0,0.0005300045013427734,0.0012819766998291016,2,2,27,56
3,1.0,short,low,43,M1 Base,2,4.0,0.007051944732666016,0.007919073104858398,2,"[(0, 0), (1, 2)]",33,63
3,1.0,short,low,43,M1 Opt,2,4.0,0.0004749298095703125,0.0010809898376464844,2,2,25,52
3,1.0,short,low,44,M1 Base,2,4.0,0.0020961761474609375,0.002785205841064453,2,"[(0, 1), (3, 2)]",39,75
3,1.0,short,low,44,M1 Opt,2,4.0,0.00044798851013183594,0.0010628700256347656,2,2,27,56
3,1.0,short,low,45,M1 Base,2,4.0,0.0021300315856933594,0.0026357173919677734,2,"[(2, 1), (2, 2)]",27,51
3,1.0,short,low,45,M1 Opt,2,4.0,0.0003249645233154297,0.0007841587066650391,2,2,21,44
3,1.0,short,low,46,M1 Base,2,4.0,0.002454042434692383,0.003152132034301758,2,"[(0, 0), (1, 1)]",33,63
3,1.0,short,low,46,M1 Opt,2,4.0,0.0003070831298828125,0.0008342266082763672,2,2,23,48
3,1.0,short,high,42,M1 Base,2,6.0,0.0004801750183105469,0.0011298656463623047,3,"[(0, 2), (1, 1), (2, 0)]",39,75
3,1.0,short,high,42,M1 Opt,2,6.0,0.0001919269561767578,0.0006783008575439453,3,3,27,56
3,1.0,short,high,43,M1 Base,2,6.0,0.0004220008850097656,0.0009427070617675781,3,"[(0, 1), (0, 2), (1, 0)]",33,63
3,1.0,short,high,43,M1 Opt,2,6.0,0.00019121170043945312,0.0006191730499267578,3,3,25,52
3,1.0,short,high,44,M1 Base,2,4.0,0.0011391639709472656,0.0017559528350830078,2,"[(0, 2), (3, 1)]",39,75
3,1.0,short,high,44,M1 Opt,2,4.0,0.00034499168395996094,0.0008580684661865234,2,2,27,56
3,1.0,short,high,45,M1 Base,2,4.0,0.002410888671875,0.0035657882690429688,2,"[(2, 1), (2, 2)]",27,51
3,1.0,short,high,45,M1 Opt,2,4.0,0.00027489662170410156,0.0007319450378417969,2,2,21,44
3,1.0,short,high,46,M1 Base,2,4.0,0.0006608963012695312,0.0011949539184570312,2,"[(0, 0), (1, 2)]",33,63
3,1.0,short,high,46,M1 Opt,2,4.0,0.0003349781036376953,0.0011157989501953125,2,2,23,48
3,1.0,long,low,42,M1 Base,2,4.0,0.003219127655029297,0.004154205322265625,2,"[(0, 1), (2, 2)]",39,75
3,1.0,long,low,42,M1 Opt,2,4.0,0.0005970001220703125,0.0018007755279541016,2,2,27,56
3,1.0,long,low,43,M1 Base,2,4.0,0.0053369998931884766,0.006160736083984375,2,"[(0, 0), (1, 2)]",33,63
3,1.0,long,low,43,M1 Opt,2,4.0,0.00045990943908691406,0.001065969467163086,2,2,25,52
3,1.0,long,low,44,M1 Base,2,4.0,0.0020389556884765625,0.0027840137481689453,2,"[(0, 1), (3, 2)]",39,75
3,1.0,long,low,44,M1 Opt,2,4.0,0.0004420280456542969,0.0010399818420410156,2,2,27,56
3,1.0,long,low,45,M1 Base,2,4.0,0.0021398067474365234,0.0027348995208740234,2,"[(2, 1), (2, 2)]",27,51
3,1.0,long,low,45,M1 Opt,2,4.0,0.00033402442932128906,0.000885009765625,2,2,21,44
3,1.0,long,low,46,M1 Base,2,4.0,0.0031549930572509766,0.0037920475006103516,2,"[(0, 0), (1, 1)]",33,63
3,1.0,long,low,46,M1 Opt,2,4.0,0.0005288124084472656,0.0016758441925048828,2,2,23,48
3,1.0,long,high,42,M1 Base,2,6.0,0.0005791187286376953,0.0013458728790283203,3,"[(0, 2), (1, 1), (2, 0)]",39,75
3,1.0,long,high,42,M1 Opt,2,6.0,0.0002110004425048828,0.0007269382476806641,3,3,27,56
3,1.0,long,high,43,M1 Base,2,6.0,0.0006117820739746094,0.0012459754943847656,3,"[(0, 1), (0, 2), (1, 0)]",33,63
3,1.0,long,high,43,M1 Opt,2,6.0,0.00025200843811035156,0.0011358261108398438,3,3,25,52
3,1.0,long,high,44,M1 Base,2,4.0,0.001325845718383789,0.002209186553955078,2,"[(0, 2), (3, 1)]",39,75
3,1.0,long,high,44,M1 Opt,2,4.0,0.00035500526428222656,0.0009970664978027344,2,2,27,56
3,1.0,long,high,45,M1 Base,2,4.0,0.0038008689880371094,0.004375934600830078,2,"[(2, 1), (2, 2)]",27,51
