T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M2 Base,2,12.0,0.006758928298950195,0.010401010513305664,6,6,154,374
3,I,0,300042,11,M2 Opt,2,12.0,0.0022280216217041016,0.004296779632568359,6,6,98,230
3,I,1,300043,11,M2 Base,2,12.0,0.006473064422607422,0.010022878646850586,6,6,154,374
3,I,1,300043,11,M2 Opt,2,12.0,0.002629995346069336,0.004703998565673828,6,6,98,230
3,I,2,300044,11,M2 Base,2,12.0,0.006140947341918945,0.009823083877563477,6,6,154,374
3,I,2,300044,11,M2 Opt,2,12.0,0.0019330978393554688,0.003985881805419922,6,6,98,230
3,II,0,301042,16,M2 Base,2,20.0,0.0160219669342041,0.023869752883911133,10,10,304,784
3,II,0,301042,16,M2 Opt,2,20.0,0.005037069320678711,0.009033203125,10,10,183,455
3,II,1,301043,16,M2 Base,2,22.0,0.014827966690063477,0.02263808250427246,11,11,304,784
3,II,1,301043,16,M2 Opt,2,22.0,0.0038709640502929688,0.007949113845825195,11,11,183,455
3,II,2,301044,17,M2 Base,2,22.0,0.06853604316711426,0.07701492309570312,11,11,340,884
3,II,2,301044,17,M2 Opt,2,22.0,0.0050699710845947266,0.010735750198364258,11,11,202,509
3,III,0,302042,21,M2 Base,2,24.0,0.2857539653778076,0.302933931350708,12,12,504,1344
3,III,0,302042,21,M2 Opt,2,24.0,0.008780956268310547,0.015631914138793945,12,12,293,755
3,III,1,302043,22,M2 Base,2,30.0,0.04033994674682617,0.055722951889038086,15,15,550,1474
3,III,1,302043,22,M2 Opt,2,30.0,0.0071980953216552734,0.014820098876953125,15,15,317,824
3,III,2,302044,22,M2 Base,2,28.0,0.03719186782836914,0.0528256893157959,14,14,550,1474
3,III,2,302044,22,M2 Opt,2,28.0,0.008352994918823242,0.016004085540771484,14,14,317,824
5,I,0,500042,13,M2 Base,2,16.0,0.02398395538330078,0.02879500389099121,8,8,234,520
5,I,0,500042,13,M2 Opt,2,16.0,0.007412910461425781,0.010720014572143555,8,8,150,311
5,I,1,500043,13,M2 Base,2,12.0,0.02329421043395996,0.02816486358642578,6,6,234,520
5,I,1,500043,13,M2 Opt,2,12.0,0.004858970642089844,0.007673025131225586,6,6,150,311
5,I,2,500044,13,M2 Base,2,12.0,0.009350061416625977,0.014096975326538086,6,6,234,520
5,I,2,500044,13,M2 Opt,2,12.0,0.0013828277587890625,0.004448890686035156,6,6,150,311
5,II,0,501042,20,M2 Base,2,18.0,1.2664377689361572,1.2787349224090576,9,9,500,1220
5,II,0,501042,20,M2 Opt,2,18.0,0.019852876663208008,0.026208877563476562,9,9,300,689
5,II,1,501043,20,M2 Base,2,20.0,0.10024094581604004,0.11255598068237305,10,10,500,1220
5,II,1,501043,20,M2 Opt,2,20.0,0.005276918411254883,0.011809825897216797,10,10,301,689
5,II,2,501044,19,M2 Base,2,22.0,0.18780994415283203,0.19866609573364258,11,11,456,1102
5,II,2,501044,19,M2 Opt,2,22.0,0.012054920196533203,0.018149137496948242,11,11,278,626
5,III,0,502042,26,M2 Base,2,28.0,6.358626127243042,6.382456064224243,14,14,806,2054
5,III,0,502042,26,M2 Opt,2,28.0,0.09025406837463379,0.10312795639038086,14,14,469,1130
5,III,1,502043,25,M2 Base,2,20.0,2.0733039379119873,2.0975260734558105,10,10,750,1900
5,III,1,502043,25,M2 Opt,2,20.0,0.04440188407897949,0.05456089973449707,10,10,440,1049
5,III,2,502044,26,M2 Base,2,20.0,7.770957946777344,7.797062158584595,10,10,806,2054
5,III,2,502044,26,M2 Opt,2,20.0,0.048197031021118164,0.061428070068359375,10,10,469,1130
6,I,0,600042,14,M2 Base,2,16.0,0.023155927658081055,0.029726028442382812,8,8,280,602
6,I,0,600042,14,M2 Opt,2,16.0,0.007503032684326172,0.011289119720458984,8,8,179,356
6,I,1,600043,14,M2 Base,2,18.0,0.02203202247619629,0.027975082397460938,9,9,280,602
6,I,1,600043,14,M2 Opt,2,18.0,0.0030350685119628906,0.006312847137451172,9,9,179,356
6,I,2,600044,14,M2 Base,2,14.0,0.1029820442199707,0.10891103744506836,7,7,280,602
6,I,2,600044,14,M2 Opt,2,14.0,0.011751890182495117,0.015646934509277344,7,7,179,356
6,II,0,601042,21,M2 Base,2,24.0,0.08127784729003906,0.11729311943054199,12,12,567,1344
6,II,0,601042,21,M2 Opt,2,24.0,0.017635107040405273,0.02564525604248047,12,12,342,755
6,II,1,601043,22,M2 Base,2,24.0,0.1496129035949707,0.16592097282409668,12,12,616,1474
6,II,1,601043,22,M2 Opt,2,24.0,0.015992164611816406,0.024815797805786133,12,12,369,824
6,II,2,601044,23,M2 Base,2,24.0,0.04973793029785156,0.06794619560241699,12,12,667,1610
6,II,2,601044,23,M2 Opt,2,24.0,0.013907909393310547,0.023040056228637695,12,12,394,896
6,III,0,602042,27,M2 Base,2,28.0,1.5761699676513672,1.6030640602111816,14,14,891,2214
6,III,0,602042,27,M2 Opt,2,28.0,0.05073714256286621,0.06479406356811523,14,14,524,1214
6,III,1,602043,28,M2 Base,2,32.0,8.270591974258423,8.300807237625122,16,16,952,2380
6,III,1,602043,28,M2 Opt,2,32.0,0.0736548900604248,0.09041500091552734,16,16,554,1301
6,III,2,602044,28,M2 Base,2,26.0,0.8403420448303223,0.8724658489227295,13,13,952,2380
6,III,2,602044,28,M2 Opt,2,26.0,0.0509181022644043,0.06797099113464355,13,13,554,1301
