n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,1.0,short,low,42,M1 Opt,2,4.0,0.0005121231079101562,0.00759124755859375,2,2,27,56
3,1.0,short,low,42,M2 Opt,2,4.0,0.00020599365234375,0.0005230903625488281,2,2,15,23
3,1.0,short,low,42,M3 Opt,2,4.0,0.0001938343048095703,0.0004398822784423828,2,2,9,19
3,1.0,short,low,43,M1 Opt,2,4.0,0.00033211708068847656,0.0007731914520263672,2,2,25,52
3,1.0,short,low,43,M2 Opt,2,4.0,0.00019407272338867188,0.000446319580078125,2,2,14,23
3,1.0,short,low,43,M3 Opt,2,4.0,0.00018715858459472656,0.0004029273986816406,2,2,9,19
3,1.0,short,low,44,M1 Opt,2,4.0,0.00033402442932128906,0.0007870197296142578,2,2,27,56
3,1.0,short,low,44,M2 Opt,2,4.0,0.0004639625549316406,0.0008959770202636719,2,2,15,23
3,1.0,short,low,44,M3 Opt,2,4.0,0.00027298927307128906,0.0006477832794189453,2,2,9,19
3,1.0,short,low,45,M1 Opt,2,4.0,0.00028395652770996094,0.0006911754608154297,2,2,21,44
3,1.0,short,low,45,M2 Opt,2,4.0,0.0002601146697998047,0.0012099742889404297,2,2,12,26
3,1.0,short,low,45,M3 Opt,2,4.0,0.00021910667419433594,0.0005929470062255859,2,2,9,18
3,1.0,short,low,46,M1 Opt,2,4.0,0.00028586387634277344,0.0006918907165527344,2,2,23,48
3,1.0,short,low,46,M2 Opt,2,4.0,0.00018787384033203125,0.00048422813415527344,2,2,13,25
3,1.0,short,low,46,M3 Opt,2,4.0,0.00020194053649902344,0.0004379749298095703,2,2,9,18
3,1.0,short,high,42,M1 Opt,2,6.0,0.00021004676818847656,0.0006990432739257812,3,3,27,56
3,1.0,short,high,42,M2 Opt,2,6.0,0.00017595291137695312,0.0004420280456542969,3,3,15,23
3,1.0,short,high,42,M3 Opt,2,6.0,0.00014710426330566406,0.00029397010803222656,3,3,6,10
3,1.0,short,high,43,M1 Opt,2,6.0,0.00025200843811035156,0.0007412433624267578,3,3,25,52
3,1.0,short,high,43,M2 Opt,2,6.0,0.000244140625,0.000675201416015625,3,3,14,23
3,1.0,short,high,43,M3 Opt,2,6.0,0.00030994415283203125,0.0006372928619384766,3,3,6,10
3,1.0,short,high,44,M1 Opt,2,4.0,0.00036597251892089844,0.0009720325469970703,2,2,27,56
3,1.0,short,high,44,M2 Opt,2,4.0,0.00024008750915527344,0.000598907470703125,2,2,15,23
3,1.0,short,high,44,M3 Opt,2,4.0,0.00022101402282714844,0.0004470348358154297,2,2,8,16
3,1.0,short,high,45,M1 Opt,2,4.0,0.00034499168395996094,0.0009188652038574219,2,2,21,44
3,1.0,short,high,45,M2 Opt,2,4.0,0.0002079010009765625,0.0005288124084472656,2,2,12,26
3,1.0,short,high,45,M3 Opt,2,4.0,0.00020194053649902344,0.00041222572326660156,2,2,9,18
3,1.0,short,high,46,M1 Opt,2,4.0,0.00021386146545410156,0.0006127357482910156,2,2,23,48
3,1.0,short,high,46,M2 Opt,2,4.0,0.0001850128173828125,0.00043702125549316406,2,2,13,25
3,1.0,short,high,46,M3 Opt,2,4.0,0.0001659393310546875,0.0003409385681152344,2,2,8,15
3,1.0,long,low,42,M1 Opt,2,4.0,0.0008280277252197266,0.0013248920440673828,2,2,27,56
3,1.0,long,low,42,M2 Opt,2,4.0,0.00024700164794921875,0.0007460117340087891,2,2,15,23
3,1.0,long,low,42,M3 Opt,2,4.0,0.0005469322204589844,0.0008168220520019531,2,2,9,19
3,1.0,long,low,43,M1 Opt,2,4.0,0.0004329681396484375,0.0011179447174072266,2,2,25,52
3,1.0,long,low,43,M2 Opt,2,4.0,0.00020503997802734375,0.00046896934509277344,2,2,14,23
3,1.0,long,low,43,M3 Opt,2,4.0,0.00019216537475585938,0.00041294097900390625,2,2,9,19
3,1.0,long,low,44,M1 Opt,2,4.0,0.0004839897155761719,0.0009598731994628906,2,2,27,56
3,1.0,long,low,44,M2 Opt,2,4.0,0.0002460479736328125,0.0005540847778320312,2,2,15,23
3,1.0,long,low,44,M3 Opt,2,4.0,0.00026416778564453125,0.0005092620849609375,2,2,9,19
3,1.0,long,low,45,M1 Opt,2,4.0,0.00028586387634277344,0.000713348388671875,2,2,21,44
3,1.0,long,low,45,M2 Opt,2,4.0,0.00016498565673828125,0.00044226646423339844,2,2,12,26
3,1.0,long,low,45,M3 Opt,2,4.0,0.00019097328186035156,0.00039505958557128906,2,2,9,18
3,1.0,long,low,46,M1 Opt,2,4.0,0.0002598762512207031,0.0006709098815917969,2,2,23,48
3,1.0,long,low,46,M2 Opt,2,4.0,0.00015306472778320312,0.0004067420959472656,2,2,13,25
3,1.0,long,low,46,M3 Opt,2,4.0,0.00017905235290527344,0.0003757476806640625,2,2,9,18
