T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M1 Opt,2,12.0,0.006773948669433594,0.014890909194946289,6,6,130,215
3,I,0,300042,11,M2 Opt,2,12.0,0.0024230480194091797,0.004560232162475586,6,6,98,230
3,I,0,300042,11,M3 Opt,2,12.0,0.001096963882446289,0.002557039260864258,6,6,51,105
3,I,1,300043,11,M1 Opt,2,12.0,0.00249481201171875,0.0044329166412353516,6,6,130,215
3,I,1,300043,11,M2 Opt,2,12.0,0.0026121139526367188,0.004873991012573242,6,6,98,230
3,I,1,300043,11,M3 Opt,2,12.0,0.0007281303405761719,0.001689910888671875,6,6,47,89
3,I,2,300044,11,M1 Opt,2,12.0,0.0032930374145507812,0.0058858394622802734,6,6,130,215
3,I,2,300044,11,M2 Opt,2,12.0,0.0029549598693847656,0.005026102066040039,6,6,98,230
3,I,2,300044,11,M3 Opt,2,12.0,0.0010998249053955078,0.0020711421966552734,6,6,48,97
3,II,0,301042,16,M1 Opt,2,20.0,0.006546974182128906,0.009621858596801758,10,10,230,355
3,II,0,301042,16,M2 Opt,2,20.0,0.005685091018676758,0.011429071426391602,10,10,183,455
3,II,0,301042,16,M3 Opt,2,20.0,0.0018007755279541016,0.003818988800048828,10,10,97,200
3,II,1,301043,16,M1 Opt,2,22.0,0.005059003829956055,0.008086681365966797,11,11,230,355
3,II,1,301043,16,M2 Opt,2,22.0,0.0041768550872802734,0.008152008056640625,11,11,183,455
3,II,1,301043,16,M3 Opt,2,22.0,0.0006010532379150391,0.0018711090087890625,11,11,68,135
3,II,2,301044,17,M1 Opt,2,22.0,0.006021022796630859,0.009518861770629883,11,11,251,382
3,II,2,301044,17,M2 Opt,2,22.0,0.0052509307861328125,0.011078834533691406,11,11,202,509
3,II,2,301044,17,M3 Opt,2,22.0,0.0018498897552490234,0.0032958984375,11,11,66,125
3,III,0,302042,21,M1 Opt,2,24.0,0.026853084564208984,0.03131914138793945,12,12,355,520
3,III,0,302042,21,M2 Opt,2,24.0,0.009991884231567383,0.017478227615356445,12,12,293,755
3,III,0,302042,21,M3 Opt,2,24.0,0.004575967788696289,0.00784158706665039,12,12,131,255
3,III,1,302043,22,M1 Opt,2,30.0,0.008840084075927734,0.014433145523071289,15,15,381,552
3,III,1,302043,22,M2 Opt,2,30.0,0.007297992706298828,0.01592707633972168,15,15,317,824
3,III,1,302043,22,M3 Opt,2,30.0,0.0018157958984375,0.0036449432373046875,15,15,96,187
3,III,2,302044,22,M1 Opt,2,28.0,0.006448030471801758,0.01153421401977539,14,14,381,552
3,III,2,302044,22,M2 Opt,2,28.0,0.0074198246002197266,0.017030715942382812,14,14,317,824
3,III,2,302044,22,M3 Opt,2,28.0,0.002254962921142578,0.004364967346191406,14,14,115,229
5,I,0,500042,13,M1 Opt,2,16.0,0.008980035781860352,0.012174844741821289,8,8,209,352
5,I,0,500042,13,M2 Opt,2,16.0,0.0077419281005859375,0.01049494743347168,8,8,150,311
5,I,0,500042,13,M3 Opt,2,16.0,0.0029158592224121094,0.0042858123779296875,8,8,53,110
5,I,1,500043,13,M1 Opt,2,12.0,0.005311012268066406,0.008566856384277344,6,6,209,352
5,I,1,500043,13,M2 Opt,2,12.0,0.004105091094970703,0.006868124008178711,6,6,150,311
5,I,1,500043,13,M3 Opt,2,12.0,0.0018618106842041016,0.0033888816833496094,6,6,65,138
5,I,2,500044,13,M1 Opt,2,12.0,0.005653858184814453,0.008950948715209961,6,6,209,352
5,I,2,500044,13,M2 Opt,2,12.0,0.0020380020141601562,0.005177974700927734,6,6,150,311
5,I,2,500044,13,M3 Opt,2,12.0,0.0008530616760253906,0.0023610591888427734,6,6,71,158
5,II,0,501042,20,M1 Opt,2,18.0,0.03186392784118652,0.03764605522155762,9,9,390,609
5,II,0,501042,20,M2 Opt,2,18.0,0.019828081130981445,0.02608323097229004,9,9,300,689
5,II,0,501042,20,M3 Opt,2,18.0,0.053987979888916016,0.056797027587890625,9,9,144,308
5,II,1,501043,20,M1 Opt,2,20.0,0.008347034454345703,0.01526784896850586,10,10,392,613
5,II,1,501043,20,M2 Opt,2,20.0,0.005636930465698242,0.012580633163452148,10,10,301,689
5,II,1,501043,20,M3 Opt,2,20.0,0.0018999576568603516,0.004690885543823242,10,10,108,236
5,II,2,501044,19,M1 Opt,2,22.0,0.018560171127319336,0.023843050003051758,11,11,366,579
