T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,I,M1 Opt,11,0.004187266031901042,130,215,3,0,0,3
3,I,M2 Opt,11,0.0026633739471435547,98,230,3,0,0,3
3,I,M3 Opt,11,0.0009749730428059896,48.666666666666664,97,3,0,0,3
3,II,M1 Opt,16.333333333333332,0.0058756669362386065,237,364,3,0,0,3
3,II,M2 Opt,16.333333333333332,0.005037625630696614,189.33333333333334,473,3,0,0,3
3,II,M3 Opt,16.333333333333332,0.001417239507039388,77,153.33333333333334,3,0,0,3
3,III,M1 Opt,21.666666666666668,0.014047066370646158,372.3333333333333,541.3333333333334,3,0,0,3
3,III,M2 Opt,21.666666666666668,0.008236567179361979,309,801,3,0,0,3
3,III,M3 Opt,21.666666666666668,0.002882242202758789,114,223.66666666666666,3,0,0,3
5,I,M1 Opt,13,0.00664830207824707,209,352,3,0,0,3
5,I,M2 Opt,13,0.004628340403238933,150,311,3,0,0,3
5,I,M3 Opt,13,0.0018769105275472004,63,135.33333333333334,3,0,0,3
5,II,M1 Opt,19.666666666666668,0.019590377807617188,382.6666666666667,600.3333333333334,3,0,0,3
5,II,M2 Opt,19.666666666666668,0.012917598088582357,293,668,3,0,0,3
5,II,M3 Opt,19.666666666666668,0.02235126495361328,117.66666666666667,251,3,0,0,3
5,III,M1 Opt,25.666666666666668,0.10349090894063313,576.3333333333334,860.6666666666666,3,0,0,3
5,III,M2 Opt,25.666666666666668,0.06106162071228027,459.3333333333333,1103,3,0,0,3
5,III,M3 Opt,25.666666666666668,0.02686174710591634,252,534.6666666666666,3,0,0,3
6,I,M1 Opt,14,0.00937032699584961,253,428,3,0,0,3
6,I,M2 Opt,14,0.006511290868123372,179,356,3,0,0,3
6,I,M3 Opt,14,0.002112865447998047,60.666666666666664,134,3,0,0,3
6,II,M1 Opt,22,0.021344661712646484,483.3333333333333,756.3333333333334,3,0,0,3
6,II,M2 Opt,22,0.015283346176147461,368.3333333333333,825,3,0,0,3
6,II,M3 Opt,22,0.004083315531412761,121.66666666666667,266.3333333333333,3,0,0,3
6,III,M1 Opt,27.666666666666668,0.041539271672566734,691.3333333333334,1040.3333333333333,3,0,0,3
6,III,M2 Opt,27.666666666666668,0.05384039878845215,544,1272,3,0,0,3
6,III,M3 Opt,27.666666666666668,0.01477670669555664,209.66666666666666,455.6666666666667,3,0,0,3
