T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M3 Base,2,12.0,0.0014531612396240234,0.003461122512817383,6,6,51,93
3,I,0,300042,11,M3 Opt,2,12.0,0.000965118408203125,0.0019321441650390625,6,6,51,105
3,I,1,300043,11,M3 Base,2,12.0,0.0018341541290283203,0.002624034881591797,6,6,47,77
3,I,1,300043,11,M3 Opt,2,12.0,0.000823974609375,0.0016548633575439453,6,6,47,89
3,I,2,300044,11,M3 Base,2,12.0,0.0026738643646240234,0.0034942626953125,6,6,48,85
3,I,2,300044,11,M3 Opt,2,12.0,0.001917123794555664,0.0028700828552246094,6,6,48,97
3,II,0,301042,16,M3 Base,2,20.0,0.0027549266815185547,0.004488945007324219,10,10,97,183
3,II,0,301042,16,M3 Opt,2,20.0,0.002783060073852539,0.004563808441162109,10,10,97,200
3,II,1,301043,16,M3 Base,2,22.0,0.00084686279296875,0.0019888877868652344,11,11,68,118
3,II,1,301043,16,M3 Opt,2,22.0,0.0008139610290527344,0.00203704833984375,11,11,68,135
3,II,2,301044,17,M3 Base,2,22.0,0.003031015396118164,0.004195213317871094,11,11,66,107
3,II,2,301044,17,M3 Opt,2,22.0,0.0024759769439697266,0.0036880970001220703,11,11,66,125
3,III,0,302042,21,M3 Base,2,24.0,0.0054738521575927734,0.007711887359619141,12,12,131,233
3,III,0,302042,21,M3 Opt,2,24.0,0.0059850215911865234,0.008445024490356445,12,12,131,255
3,III,1,302043,22,M3 Base,2,30.0,0.003125905990600586,0.004765033721923828,15,15,96,164
3,III,1,302043,22,M3 Opt,2,30.0,0.002193927764892578,0.003916025161743164,15,15,96,187
3,III,2,302044,22,M3 Base,2,28.0,0.0035181045532226562,0.005506038665771484,14,14,115,206
3,III,2,302044,22,M3 Opt,2,28.0,0.0036079883575439453,0.00574803352355957,14,14,115,229
3,IV,0,303042,27,M3 Base,2,26.0,0.008781909942626953,0.013345003128051758,13,13,247,476
3,IV,0,303042,27,M3 Opt,2,26.0,0.007586002349853516,0.012202978134155273,13,13,247,504
3,IV,1,303043,28,M3 Base,2,30.0,0.011691808700561523,0.015806913375854492,15,15,230,443
3,IV,1,303043,28,M3 Opt,2,30.0,0.0063860416412353516,0.010641098022460938,15,15,230,472
3,IV,2,303044,27,M3 Base,2,26.0,0.01140594482421875,0.01612710952758789,13,13,261,505
3,IV,2,303044,27,M3 Opt,2,26.0,0.011772871017456055,0.016648054122924805,13,13,261,533
3,V,0,304042,33,M3 Base,2,34.0,0.01456308364868164,0.020311594009399414,17,17,308,588
3,V,0,304042,33,M3 Opt,2,34.0,0.01397705078125,0.01982712745666504,17,17,308,622
