n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
7,M1 Opt,0.0037411034107208254,0.0032296180725097656,0.0015180110931396484,0.022357940673828125,107.4,219.2,40,0,0,40
7,M2 Opt,0.0012011229991912842,0.001151442527770996,0.0006940364837646484,0.00238800048828125,58,84.2,40,0,0,40
7,M3 Opt,0.0010467052459716796,0.0009175539016723633,0.00026607513427734375,0.003718137741088867,31.05,70.7,40,0,0,40
10,M1 Opt,0.007696127891540528,0.0063970088958740234,0.0027060508728027344,0.026598215103149414,193.875,390.925,40,0,0,40
10,M2 Opt,0.0026716649532318114,0.0017141103744506836,0.0011739730834960938,0.006000041961669922,104.85,153.35,40,0,0,40
10,M3 Opt,0.0015869557857513428,0.0014854669570922852,0.000598907470703125,0.0068988800048828125,55.875,130.05,40,0,0,40
13,M1 Opt,0.017091357707977296,0.013292074203491211,0.009723186492919922,0.04082298278808594,309.375,619.825,40,0,0,40
13,M2 Opt,0.0049585700035095215,0.004024505615234375,0.002012968063354492,0.01220083236694336,166.65,246.65,40,0,0,40
13,M3 Opt,0.0024379312992095946,0.0022145509719848633,0.0007228851318359375,0.008210897445678711,89.9,213.05,40,0,0,40
15,M1 Opt,0.04493802785873413,0.02426743507385254,0.010014057159423828,0.22742700576782227,407.45,813.55,40,0,0,40
15,M2 Opt,0.013431692123413086,0.008115053176879883,0.0025382041931152344,0.1534440517425537,218.9,318.85,40,0,0,40
15,M3 Opt,0.005801123380661011,0.0032434463500976562,0.001767873764038086,0.08020710945129395,114.45,276.175,40,0,0,40
