T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
5,I,0,500042,13,M1 Opt,2,16.0,0.022783994674682617,0.3957188129425049,8,8,209,352
5,I,0,500042,13,M2 Opt,2,16.0,0.00595402717590332,0.008686065673828125,8,8,150,311
5,I,0,500042,13,M3 Opt,2,16.0,0.0016520023345947266,0.002953052520751953,8,8,53,110
5,I,1,500043,13,M1 Opt,2,12.0,0.004498004913330078,0.0073468685150146484,6,6,209,352
5,I,1,500043,13,M2 Opt,2,12.0,0.004005908966064453,0.0065920352935791016,6,6,150,311
5,I,1,500043,13,M3 Opt,2,12.0,0.001580953598022461,0.0028350353240966797,6,6,65,138
5,I,2,500044,13,M1 Opt,2,12.0,0.0047512054443359375,0.00751805305480957,6,6,209,352
5,I,2,500044,13,M2 Opt,2,12.0,0.001155853271484375,0.0037419795989990234,6,6,150,311
5,I,2,500044,13,M3 Opt,2,12.0,0.0007879734039306641,0.0023651123046875,6,6,71,158
5,II,0,501042,20,M1 Opt,2,18.0,0.031042098999023438,0.03618192672729492,9,9,390,609
5,II,0,501042,20,M2 Opt,2,18.0,0.01732492446899414,0.023628950119018555,9,9,300,689
5,II,0,501042,20,M3 Opt,2,18.0,0.04130887985229492,0.04402422904968262,9,9,144,308
5,II,1,501043,20,M1 Opt,2,20.0,0.006885051727294922,0.012006044387817383,10,10,392,613
5,II,1,501043,20,M2 Opt,2,20.0,0.004487037658691406,0.010495185852050781,10,10,301,689
5,II,1,501043,20,M3 Opt,2,20.0,0.001981019973754883,0.004063129425048828,10,10,108,236
5,II,2,501044,19,M1 Opt,2,22.0,0.016401052474975586,0.021168947219848633,11,11,366,579
5,II,2,501044,19,M2 Opt,2,22.0,0.010518789291381836,0.016062259674072266,11,11,278,626
5,II,2,501044,19,M3 Opt,2,22.0,0.00885009765625,0.010788202285766602,11,11,101,209
5,III,0,502042,26,M1 Opt,2,28.0,0.15819883346557617,0.1659088134765625,14,14,587,874
5,III,0,502042,26,M2 Opt,2,28.0,0.06919312477111816,0.08165383338928223,14,14,469,1130
5,III,0,502042,26,M3 Opt,2,28.0,0.03446388244628906,0.03882288932800293,14,14,212,451
5,III,1,502043,25,M1 Opt,2,20.0,0.043280839920043945,0.05052614212036133,10,10,555,834
