n,seed,m1_base_status,m1_opt_status,m2_status,m3_status,m1_base_objective,m1_opt_objective,m2_objective,m3_objective,m1_base_runtime,m1_opt_runtime,m2_runtime,m3_runtime,m1_base_servers,m1_opt_servers,m2_servers,m3_servers,m1_base_fireups,m1_opt_fireups,m2_fireups,m3_fireups,base_vs_opt_same_objective,opt_vs_m2_same_objective,opt_vs_m3_same_objective
10,42,2,2,2,2,8.0,8.0,8.0,8.0,0.48307204246520996,0.007757902145385742,0.056910037994384766,0.0011899471282958984,4,4,4,4,4,4,4,4,True,True,True
10,43,2,2,2,2,10.0,10.0,10.0,10.0,0.13645482063293457,0.010751008987426758,0.11085104942321777,0.0009069442749023438,5,5,5,5,5,5,5,5,True,True,True
10,44,2,2,2,2,8.0,8.0,8.0,8.0,0.02885603904724121,0.005769014358520508,0.06439805030822754,0.0020940303802490234,4,4,4,4,4,4,4,4,True,True,True
20,42,2,2,2,2,14.0,14.0,14.0,14.0,135.28814601898193,0.4803938865661621,60.24944710731506,0.33559608459472656,7,7,7,7,7,7,7,7,True,True,True
20,43,2,2,2,2,14.0,14.0,14.0,14.0,0.8566269874572754,0.05479788780212402,1.2329418659210205,0.03139495849609375,7,7,7,7,7,7,7,7,True,True,True
20,44,2,2,2,2,14.0,14.0,14.0,14.0,1.016869068145752,0.048532962799072266,1.3162779808044434,0.032427072525024414,7,7,7,7,7,7,7,7,True,True,True
30,42,2,2,9,2,16.0,16.0,16.0,16.0,9.290770053863525,0.39904093742370605,1800.0188281536102,0.13444805145263672,8,8,8,8,8,8,8,8,True,True,True
30,43,2,2,2,2,14.0,14.0,14.0,14.0,7.668110132217407,0.29132604598999023,8.472686052322388,0.3727869987487793,7,7,7,7,7,7,7,7,True,True,True
30,44,2,2,2,2,18.0,18.0,18.0,18.0,5.71708607673645,0.29210400581359863,19.967756032943726,0.19156312942504883,9,9,9,9,9,9,9,9,True,True,True
40,42,2,2,9,2,16.0,16.0,16.0,16.0,19.09104013442993,0.38126397132873535,1800.0174548625946,0.8855330944061279,8,8,8,8,8,8,8,8,True,True,True
40,43,2,2,9,2,16.0,16.0,16.0,16.0,32.926695108413696,7.525943040847778,1800.014601945877,1.977773904800415,8,8,8,8,8,8,8,8,True,True,True
40,44,2,2,9,2,16.0,16.0,16.0,16.0,53.60806179046631,0.3501560688018799,1800.0124411582947,11.947953939437866,8,8,8,8,8,8,8,8,True,True,True
50,42,2,2,9,2,20.0,20.0,20.0,19.999999122877423,152.2950029373169,0.734630823135376,1800.0133728981018,1.0079598426818848,10,10,10,10,10,10,10,10,True,True,True
50,43,9,2,9,2,20.0,20.0,20.0,20.0,1800.0227499008179,6.61804986000061,1800.0163300037384,16.237540006637573,10,10,10,10,10,10,10,10,True,True,True
50,44,2,2,2,2,18.0,18.0,18.0,18.0,51.4753839969635,1.2510859966278076,1782.7630479335785,0.6536550521850586,9,9,9,9,9,9,9,9,True,True,True
60,42,2,2,9,2,18.0,18.0,20.0,18.0,1117.6161649227142,3.6510109901428223,1800.02525806427,7.1423180103302,9,9,10,9,9,9,10,9,True,False,True
60,43,2,2,9,2,20.0,20.0,20.0,20.0,181.30224609375,1.2445659637451172,1800.0272760391235,1.7526321411132812,10,10,10,10,10,10,10,10,True,True,True
60,44,9,2,9,2,20.0,20.0,20.0,20.0,1800.0616228580475,24.309087991714478,1800.021008014679,0.7671899795532227,10,10,10,10,10,10,10,10,True,True,True
70,42,2,2,9,2,20.0,20.0,20.0,20.0,1040.5702810287476,2.0198910236358643,1800.0509400367737,21.87790012359619,10,10,10,10,10,10,10,10,True,True,True
70,43,2,2,9,2,20.0,20.0,20.0,20.0,241.11953806877136,2.3928871154785156,1800.0345950126648,0.7488400936126709,10,10,10,10,10,10,10,10,True,True,True
70,44,2,2,9,2,20.0,20.0,20.0,20.0,753.9828879833221,8.301825046539307,1800.0793719291687,16.093858003616333,10,10,10,10,10,10,10,10,True,True,True
80,42,9,2,9,2,20.0,18.0,18.0,18.0,1800.1968071460724,34.99649000167847,1800.063434123993,458.6306312084198,10,9,9,9,10,9,9,9,False,True,True
80,43,2,2,9,2,20.0,20.0,20.0,20.0,904.9351418018341,5.858299016952515,1800.0898480415344,5.691239833831787,10,10,10,10,10,10,10,10,True,True,True
80,44,2,2,9,2,18.0,18.0,18.0,18.0,307.2543089389801,8.739195823669434,1800.175411939621,14.390541076660156,9,9,9,9,9,9,9,9,True,True,True
