n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
10,1.0,short,low,42,M1 Base,2,8.0,0.03644394874572754,0.3790092468261719,4,"[(1, 9), (3, 8), (8, 6), (8, 7)]",330,630
10,1.0,short,low,42,M1 Opt,2,8.0,0.00887608528137207,0.012451887130737305,4,4,177,354
10,1.0,short,low,43,M1 Base,2,10.0,0.16876506805419922,0.17504000663757324,5,"[(0, 9), (1, 8), (2, 7), (9, 6), (10, 5)]",310,590
10,1.0,short,low,43,M1 Opt,2,10.0,0.014135122299194336,0.017541885375976562,5,5,190,383
10,1.0,short,low,44,M1 Base,2,8.0,0.03183293342590332,0.03750467300415039,4,"[(0, 9), (1, 1), (3, 3), (6, 0)]",330,630
10,1.0,short,low,44,M1 Opt,2,8.0,0.005895137786865234,0.009344100952148438,4,4,197,394
10,1.0,short,low,45,M1 Base,2,8.0,0.04191708564758301,0.0486149787902832,4,"[(1, 9), (2, 4), (4, 8), (6, 3)]",320,600
10,1.0,short,low,45,M1 Opt,2,8.0,0.02522587776184082,0.0293576717376709,4,4,195,392
10,1.0,short,low,46,M1 Base,2,8.0,0.08168792724609375,0.08724284172058105,4,"[(0, 9), (1, 8), (5, 7), (9, 6)]",320,600
10,1.0,short,low,46,M1 Opt,2,8.0,0.005179166793823242,0.00837397575378418,4,4,194,385
10,1.0,short,high,42,M1 Base,2,12.0,0.03852701187133789,0.045953989028930664,6,"[(1, 9), (2, 8), (3, 7), (8, 5), (8, 6), (10, 4)]",330,630
10,1.0,short,high,42,M1 Opt,2,12.0,0.0052490234375,0.008583784103393555,6,6,177,354
10,1.0,short,high,43,M1 Base,2,14.0,0.013408899307250977,0.018640995025634766,7,"[(0, 8), (0, 9), (1, 7), (2, 6), (9, 4), (9, 5), (10, 3)]",310,590
10,1.0,short,high,43,M1 Opt,2,14.0,0.0034999847412109375,0.007018089294433594,7,7,190,383
10,1.0,short,high,44,M1 Base,2,12.0,0.07822299003601074,0.08371400833129883,6,"[(0, 3), (1, 9), (3, 0), (3, 4), (6, 8), (9, 6)]",330,630
10,1.0,short,high,44,M1 Opt,2,12.0,0.009624958038330078,0.013459920883178711,6,6,197,394
10,1.0,short,high,45,M1 Base,2,12.0,0.01312112808227539,0.018862009048461914,6,"[(1, 9), (2, 8), (4, 7), (5, 6), (6, 5), (7, 4)]",320,600
10,1.0,short,high,45,M1 Opt,2,12.0,0.004400014877319336,0.008306264877319336,6,6,195,392
10,1.0,short,high,46,M1 Base,2,10.0,0.01575016975402832,0.021383047103881836,5,"[(0, 8), (0, 9), (1, 7), (4, 6), (9, 5)]",330,630
10,1.0,short,high,46,M1 Opt,2,10.0,0.004793882369995117,0.008383035659790039,5,5,195,388
10,1.0,long,low,42,M1 Base,2,8.0,0.021003007888793945,0.027849912643432617,4,"[(1, 9), (3, 8), (8, 6), (8, 7)]",340,660
10,1.0,long,low,42,M1 Opt,2,8.0,0.005160093307495117,0.01005697250366211,4,4,184,375
10,1.0,long,low,43,M1 Base,2,10.0,0.14724493026733398,0.1532442569732666,5,"[(0, 9), (1, 8), (2, 7), (9, 6), (10, 5)]",320,620
10,1.0,long,low,43,M1 Opt,2,10.0,0.015227079391479492,0.01960611343383789,5,5,194,395
10,1.0,long,low,44,M1 Base,2,8.0,0.04854702949523926,0.056120872497558594,4,"[(0, 0), (1, 5), (3, 2), (3, 9)]",350,690
10,1.0,long,low,44,M1 Opt,2,8.0,0.00826716423034668,0.012428045272827148,4,4,206,421
10,1.0,long,low,45,M1 Base,2,8.0,0.02919602394104004,0.0358121395111084,4,"[(1, 0), (2, 8), (4, 6), (6, 5)]",330,630
10,1.0,long,low,45,M1 Opt,2,8.0,0.010352134704589844,0.014487743377685547,4,4,199,404
10,1.0,long,low,46,M1 Base,2,8.0,0.0686960220336914,0.07510805130004883,4,"[(0, 9), (1, 8), (5, 7), (9, 6)]",330,630
10,1.0,long,low,46,M1 Opt,2,8.0,0.006479024887084961,0.010462045669555664,4,4,195,388
10,1.0,long,high,42,M1 Base,2,12.0,0.04397392272949219,0.05099606513977051,6,"[(1, 9), (2, 8), (3, 7), (8, 5), (8, 6), (10, 4)]",340,660
10,1.0,long,high,42,M1 Opt,2,12.0,0.006245851516723633,0.01019906997680664,6,6,184,375
10,1.0,long,high,43,M1 Base,2,14.0,0.014842987060546875,0.021413087844848633,7,"[(0, 8), (0, 9), (1, 7), (2, 6), (9, 4), (9, 5), (10, 3)]",320,620
10,1.0,long,high,43,M1 Opt,2,14.0,0.003515005111694336,0.007200956344604492,7,7,194,395
10,1.0,long,high,44,M1 Base,2,12.0,0.08337998390197754,0.09038209915161133,6,"[(0, 2), (1, 8), (3, 0), (6, 7), (8, 9), (9, 6)]",350,690
10,1.0,long,high,44,M1 Opt,2,12.0,0.009948015213012695,0.014445066452026367,6,6,206,421
10,1.0,long,high,45,M1 Base,2,12.0,0.018123149871826172,0.02482914924621582,6,"[(1, 9), (2, 8), (4, 7), (5, 6), (6, 5), (7, 4)]",330,630
10,1.0,long,high,45,M1 Opt,2,12.0,0.005357980728149414,0.009541034698486328,6,6,199,404
10,1.0,long,high,46,M1 Base,2,10.0,0.024322986602783203,0.030726909637451172,5,"[(0, 8), (0, 9), (1, 7), (4, 6), (9, 5)]",330,630
10,1.0,long,high,46,M1 Opt,2,10.0,0.004667997360229492,0.008266210556030273,5,5,195,388
10,1.2,short,low,42,M1 Base,2,8.0,0.04104900360107422,0.049198150634765625,4,"[(0, 9), (3, 8), (8, 7), (11, 6)]",340,660
10,1.2,short,low,42,M1 Opt,2,8.0,0.006489992141723633,0.010378837585449219,4,4,197,398
10,1.2,short,low,43,M1 Base,2,10.0,0.1588459014892578,0.1653459072113037,5,"[(0, 9), (1, 8), (5, 7), (9, 6), (12, 5)]",340,660
10,1.2,short,low,43,M1 Opt,2,10.0,0.01581883430480957,0.0203249454498291,5,5,204,415
10,1.2,short,low,44,M1 Base,2,8.0,0.02394890785217285,0.031232118606567383,4,"[(0, 9), (2, 8), (6, 7), (9, 6)]",340,660
10,1.2,short,low,44,M1 Opt,2,8.0,0.008135080337524414,0.01188206672668457,4,4,180,361
10,1.2,short,low,45,M1 Base,2,8.0,0.08599400520324707,0.0924530029296875,4,"[(4, 8), (4, 9), (9, 7), (12, 6)]",320,620
10,1.2,short,low,45,M1 Opt,2,8.0,0.006403923034667969,0.010456085205078125,4,4,202,411
10,1.2,short,low,46,M1 Base,2,8.0,0.13662195205688477,0.14307093620300293,4,"[(0, 9), (5, 8), (9, 7), (12, 6)]",330,610
10,1.2,short,low,46,M1 Opt,2,8.0,0.013961076736450195,0.01845693588256836,4,4,199,390
10,1.2,short,high,42,M1 Base,2,10.0,0.03419184684753418,0.042427778244018555,5,"[(0, 9), (1, 0), (3, 8), (8, 5), (10, 1)]",340,660
10,1.2,short,high,42,M1 Opt,2,10.0,0.006844043731689453,0.011217832565307617,5,5,197,398
10,1.2,short,high,43,M1 Base,2,16.0,0.013267993927001953,0.02034306526184082,8,"[(0, 0), (0, 8), (1, 7), (5, 9), (8, 1), (9, 5), (9, 6), (12, 4)]",340,660
10,1.2,short,high,43,M1 Opt,2,16.0,0.003818988800048828,0.008069038391113281,8,8,204,415
10,1.2,short,high,44,M1 Base,2,12.0,0.05748319625854492,0.0655972957611084,6,"[(0, 9), (2, 8), (4, 7), (6, 6), (9, 5), (11, 4)]",340,660
10,1.2,short,high,44,M1 Opt,2,12.0,0.010860919952392578,0.014577865600585938,6,6,180,361
10,1.2,short,high,45,M1 Base,2,8.0,0.020771026611328125,0.02722907066345215,4,"[(4, 8), (4, 9), (5, 7), (9, 6)]",320,620
10,1.2,short,high,45,M1 Opt,2,8.0,0.006842851638793945,0.010781049728393555,4,4,202,411
10,1.2,short,high,46,M1 Base,2,10.0,0.016916990280151367,0.022928953170776367,5,"[(0, 8), (0, 9), (4, 7), (9, 6), (11, 5)]",320,600
10,1.2,short,high,46,M1 Opt,2,10.0,0.004169940948486328,0.007590770721435547,5,5,181,354
