n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
10,1.0,short,low,M1 Base,0.07212939262390136,322,610,5,0,0,5
10,1.0,short,low,M1 Opt,0.01186227798461914,190.6,381.6,5,0,0,5
10,1.0,short,high,M1 Base,0.03180603981018067,324,616,5,0,0,5
10,1.0,short,high,M1 Opt,0.005513572692871093,190.8,382.2,5,0,0,5
10,1.0,long,low,M1 Base,0.06293740272521972,334,646,5,0,0,5
10,1.0,long,low,M1 Opt,0.009097099304199219,195.6,396.6,5,0,0,5
10,1.0,long,high,M1 Base,0.03692860603332519,334,646,5,0,0,5
10,1.0,long,high,M1 Opt,0.005946969985961914,195.6,396.6,5,0,0,5
10,1.2,short,low,M1 Base,0.08929195404052734,334,642,5,0,0,5
10,1.2,short,low,M1 Opt,0.010161781311035156,196.4,395,5,0,0,5
10,1.2,short,high,M1 Base,0.02852621078491211,332,640,5,0,0,5
10,1.2,short,high,M1 Opt,0.006507349014282226,192.8,387.8,5,0,0,5
10,1.2,long,low,M1 Base,0.07909445762634278,332,636,5,0,0,5
10,1.2,long,low,M1 Opt,0.008613777160644532,196,396.2,5,0,0,5
10,1.2,long,high,M1 Base,0.044959735870361325,332,640,5,0,0,5
10,1.2,long,high,M1 Opt,0.0071202278137207035,193.2,391.4,5,0,0,5
12,1.0,short,low,M1 Base,0.15177688598632813,472.8,904.8,5,0,0,5
12,1.0,short,low,M1 Opt,0.021449756622314454,272.2,544,5,0,0,5
12,1.0,short,high,M1 Base,0.08779683113098144,472.8,909.6,5,0,0,5
12,1.0,short,high,M1 Opt,0.012978792190551758,268.8,538.2,5,0,0,5
12,1.0,long,low,M1 Base,0.19617881774902343,477.6,919.2,5,0,0,5
12,1.0,long,low,M1 Opt,0.01595144271850586,275.4,555.6,5,0,0,5
12,1.0,long,high,M1 Base,0.08016810417175294,480,931.2,5,0,0,5
12,1.0,long,high,M1 Opt,0.014915990829467773,272.8,552.2,5,0,0,5
12,1.2,short,low,M1 Base,0.17250094413757325,460.8,883.2,5,0,0,5
12,1.2,short,low,M1 Opt,0.0278317928314209,260.2,519.6,5,0,0,5
12,1.2,short,high,M1 Base,0.08361496925354003,460.8,883.2,5,0,0,5
12,1.2,short,high,M1 Opt,0.01598381996154785,260.2,519.6,5,0,0,5
12,1.2,long,low,M1 Base,0.19988503456115722,472.8,919.2,5,0,0,5
12,1.2,long,low,M1 Opt,0.019201183319091798,270.2,548.8,5,0,0,5
12,1.2,long,high,M1 Base,0.0708117961883545,472.8,919.2,5,0,0,5
12,1.2,long,high,M1 Opt,0.018428325653076172,270.2,548.8,5,0,0,5
15,1.0,short,low,M1 Base,3.0704888343811034,705,1323,5,0,0,5
15,1.0,short,low,M1 Opt,0.08662328720092774,400.8,791,5,0,0,5
15,1.0,short,high,M1 Base,0.1529529571533203,705,1323,5,0,0,5
15,1.0,short,high,M1 Opt,0.0351168155670166,400.8,791,5,0,0,5
15,1.0,long,low,M1 Base,0.3912797927856445,759,1485,5,0,0,5
15,1.0,long,low,M1 Opt,0.027990198135375975,419.6,847.4,5,0,0,5
15,1.0,long,high,M1 Base,0.24607324600219727,759,1485,5,0,0,5
15,1.0,long,high,M1 Opt,0.05030498504638672,419.6,847.4,5,0,0,5
15,1.2,short,low,M1 Base,1.0346672058105468,705,1329,5,0,0,5
15,1.2,short,low,M1 Opt,0.11946263313293456,397.4,786,5,0,0,5
15,1.2,short,high,M1 Base,0.28624897003173827,705,1329,5,0,0,5
15,1.2,short,high,M1 Opt,0.04278478622436523,397.4,786,5,0,0,5
15,1.2,long,low,M1 Base,0.3942159652709961,741,1437,5,0,0,5
15,1.2,long,low,M1 Opt,0.03395724296569824,412,829.8,5,0,0,5
15,1.2,long,high,M1 Base,0.4188032627105713,741,1437,5,0,0,5
15,1.2,long,high,M1 Opt,0.04533400535583496,412,829.8,5,0,0,5
17,1.0,short,low,M1 Base,180.89235777854918,907.8,1710.2,4,1,0,5
17,1.0,short,low,M1 Opt,0.44466023445129393,506.2,999.6,5,0,0,5
17,1.0,short,high,M1 Base,0.5157521724700928,907.8,1710.2,5,0,0,5
17,1.0,short,high,M1 Opt,0.12599077224731445,506.2,999.6,5,0,0,5
17,1.0,long,low,M1 Base,23.61359658241272,958.8,1863.2,5,0,0,5
17,1.0,long,low,M1 Opt,0.19765019416809082,524.8,1055.4,5,0,0,5
17,1.0,long,high,M1 Base,0.44811077117919923,958.8,1863.2,5,0,0,5
17,1.0,long,high,M1 Opt,0.11078319549560547,524.8,1055.4,5,0,0,5
17,1.2,short,low,M1 Base,1.0635453701019286,897.6,1686.4,5,0,0,5
17,1.2,short,low,M1 Opt,0.06768798828125,504.2,992.4,5,0,0,5
17,1.2,short,high,M1 Base,0.8732648372650147,890.8,1672.8,5,0,0,5
17,1.2,short,high,M1 Opt,0.09620103836059571,503.6,991,5,0,0,5
17,1.2,long,low,M1 Base,18.28746485710144,941.8,1819,5,0,0,5
17,1.2,long,low,M1 Opt,0.11786694526672363,521.4,1044,5,0,0,5
17,1.2,long,high,M1 Base,0.44312009811401365,935,1805.4,5,0,0,5
17,1.2,long,high,M1 Opt,0.08232583999633789,521,1043.2,5,0,0,5
