n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
15,1.0,short,low,M2 Base,1.3820577621459962,396,690,5,0,0,5
15,1.0,short,low,M2 Opt,0.049184131622314456,220.2,332.4,5,0,0,5
15,1.0,short,high,M2 Base,0.9224274635314942,396,690,5,0,0,5
15,1.0,short,high,M2 Opt,0.010927152633666993,220.2,332.4,5,0,0,5
15,1.0,long,low,M2 Base,0.5133606433868408,396,690,5,0,0,5
15,1.0,long,low,M2 Opt,0.008413982391357423,220.2,301.8,5,0,0,5
15,1.0,long,high,M2 Base,0.9139943599700928,396,690,5,0,0,5
15,1.0,long,high,M2 Opt,0.01114826202392578,220.2,301.8,5,0,0,5
15,1.2,short,low,M2 Base,0.9417429447174073,393,690,5,0,0,5
15,1.2,short,low,M2 Opt,0.01636204719543457,217.6,334,5,0,0,5
15,1.2,short,high,M2 Base,0.805637788772583,393,690,5,0,0,5
15,1.2,short,high,M2 Opt,0.014448833465576173,217.6,334,5,0,0,5
15,1.2,long,low,M2 Base,0.5479596138000489,393,690,5,0,0,5
15,1.2,long,low,M2 Opt,0.006140851974487304,217.6,307.2,5,0,0,5
15,1.2,long,high,M2 Base,0.9876173973083496,393,690,5,0,0,5
15,1.2,long,high,M2 Opt,0.012353610992431641,217.6,307.2,5,0,0,5
30,1.0,short,low,M2 Base,367.27584900856016,1536,2730,3,2,0,5
30,1.0,short,low,M2 Opt,1.6819069385528564,819.8,1260,5,0,0,5
30,1.0,short,high,M2 Base,182.46497774124146,1542,2730,5,0,0,5
30,1.0,short,high,M2 Opt,0.5104140281677246,824,1257.2,5,0,0,5
30,1.0,long,low,M2 Base,900.0067552566528,1542,2730,0,5,0,5
30,1.0,long,low,M2 Opt,360.1245213031769,825.2,1092.6,3,2,0,5
30,1.0,long,high,M2 Base,80.85268697738647,1536,2730,5,0,0,5
30,1.0,long,high,M2 Opt,0.5417590141296387,822.8,1092.6,5,0,0,5
30,1.2,short,low,M2 Base,721.8909614086151,1566,2730,1,4,0,5
30,1.2,short,low,M2 Opt,181.03050694465637,826.6,1251.6,4,1,0,5
30,1.2,short,high,M2 Base,206.09728760719298,1566,2730,4,1,0,5
30,1.2,short,high,M2 Opt,10.261030006408692,828,1246.4,5,0,0,5
30,1.2,long,low,M2 Base,900.0068369865418,1560,2730,0,5,0,5
30,1.2,long,low,M2 Opt,360.289860534668,821,1163.4,3,2,0,5
30,1.2,long,high,M2 Base,13.405861377716064,1560,2730,5,0,0,5
30,1.2,long,high,M2 Opt,0.26961984634399416,822.4,1163.8,5,0,0,5
45,1.0,short,low,M2 Base,900.0157603740693,3375,6120,0,5,0,5
45,1.0,short,low,M2 Opt,93.17685618400574,1749.2,2857.8,5,0,0,5
45,1.0,short,high,M2 Base,900.0371985912323,3375,6120,0,5,0,5
45,1.0,short,high,M2 Opt,189.9006133556366,1758.4,2839.8,4,1,0,5
45,1.0,long,low,M2 Base,900.0253401756287,3384,6120,0,5,0,5
45,1.0,long,low,M2 Opt,364.96266860961913,1749.8,2700,3,2,0,5
45,1.0,long,high,M2 Base,900.064830827713,3366,6120,0,5,0,5
45,1.0,long,high,M2 Opt,4.993377780914306,1747.8,2684.6,5,0,0,5
