T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,I,M1 Base,11,0.005291541417439778,187,253,3,0,0,3
3,I,M1 Opt,11,0.0029506683349609375,130,215,3,0,0,3
3,II,M1 Base,16.333333333333332,0.018328428268432617,365,463,3,0,0,3
3,II,M1 Opt,16.333333333333332,0.005422035853068034,237,364,3,0,0,3
3,III,M1 Base,21.666666666666668,0.04181901613871256,599.6666666666666,729.6666666666666,3,0,0,3
3,III,M1 Opt,21.666666666666668,0.011039018630981445,372.3333333333333,541.3333333333334,3,0,0,3
5,I,M1 Base,13,0.017707029978434246,299,429,3,0,0,3
5,I,M1 Opt,13,0.0067187150319417315,209,352,3,0,0,3
5,II,M1 Base,19.666666666666668,0.08793973922729492,583.6666666666666,780.3333333333334,3,0,0,3
5,II,M1 Opt,19.666666666666668,0.01967899004618327,382.6666666666667,600.3333333333334,3,0,0,3
5,III,M1 Base,25.666666666666668,0.18340222040812174,915.6666666666666,1172.3333333333333,3,0,0,3
5,III,M1 Opt,25.666666666666668,0.08808167775472005,576.3333333333334,860.6666666666666,3,0,0,3
6,I,M1 Base,14,0.029189030329386394,364,532,3,0,0,3
6,I,M1 Opt,14,0.009167750676472982,253,428,3,0,0,3
6,II,M1 Base,22,0.09202965100606282,748.6666666666666,1012.6666666666666,3,0,0,3
6,II,M1 Opt,22,0.021557013193766277,483.3333333333333,756.3333333333334,3,0,0,3
6,III,M1 Base,27.666666666666668,0.12213929494222005,1097.6666666666667,1429.6666666666667,3,0,0,3
6,III,M1 Opt,27.666666666666668,0.03960736592610677,691.3333333333334,1040.3333333333333,3,0,0,3
