T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M2 Base,2,12.0,0.012908935546875,0.020559072494506836,6,6,154,374
3,I,0,300042,11,M2 Opt,2,12.0,0.005935192108154297,0.010316848754882812,6,6,98,230
3,I,1,300043,11,M2 Base,2,12.0,0.011229991912841797,0.018044233322143555,6,6,154,374
3,I,1,300043,11,M2 Opt,2,12.0,0.006762981414794922,0.010428905487060547,6,6,98,230
3,I,2,300044,11,M2 Base,2,12.0,0.013403177261352539,0.01903700828552246,6,6,154,374
3,I,2,300044,11,M2 Opt,2,12.0,0.003895998001098633,0.007544994354248047,6,6,98,230
3,II,0,301042,16,M2 Base,2,20.0,0.028364896774291992,0.04121661186218262,10,10,304,784
3,II,0,301042,16,M2 Opt,2,20.0,0.011377811431884766,0.01951885223388672,10,10,183,455
3,II,1,301043,16,M2 Base,2,22.0,0.026435136795043945,0.0402529239654541,11,11,304,784
3,II,1,301043,16,M2 Opt,2,22.0,0.007787942886352539,0.014958858489990234,11,11,183,455
3,II,2,301044,17,M2 Base,2,22.0,0.11763405799865723,0.1327669620513916,11,11,340,884
3,II,2,301044,17,M2 Opt,2,22.0,0.009009122848510742,0.017199277877807617,11,11,202,509
3,III,0,302042,21,M2 Base,2,24.0,0.5287408828735352,0.5535047054290771,12,12,504,1344
3,III,0,302042,21,M2 Opt,2,24.0,0.017214059829711914,0.029512882232666016,12,12,293,755
3,III,1,302043,22,M2 Base,2,30.0,0.07979798316955566,0.11156368255615234,15,15,550,1474
3,III,1,302043,22,M2 Opt,2,30.0,0.013497114181518555,0.031199932098388672,15,15,317,824
3,III,2,302044,22,M2 Base,2,28.0,0.0751349925994873,0.10529398918151855,14,14,550,1474
3,III,2,302044,22,M2 Opt,2,28.0,0.016695022583007812,0.032122135162353516,14,14,317,824
3,IV,0,303042,27,M2 Base,2,26.0,0.8772578239440918,0.92722487449646,13,13,810,2214
3,IV,0,303042,27,M2 Opt,2,26.0,0.11434292793273926,0.13866686820983887,13,13,457,1214
3,IV,1,303043,28,M2 Base,2,30.0,9.844310998916626,9.9059739112854,15,15,868,2380
3,IV,1,303043,28,M2 Opt,2,30.0,0.0462191104888916,0.07433485984802246,15,15,487,1301
3,IV,2,303044,27,M2 Base,2,26.0,1.8014750480651855,1.8468258380889893,13,13,810,2214
3,IV,2,303044,27,M2 Opt,2,26.0,0.0525970458984375,0.07310628890991211,13,13,457,1214
3,V,0,304042,33,M2 Base,2,34.0,0.971350908279419,1.0451939105987549,17,17,1188,3300
