n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
7,1.0,short,low,M1 Opt,0.007758188247680664,106.2,216.4,5,0,0,5
7,1.0,short,low,M2 Opt,0.001306009292602539,57.6,84.2,5,0,0,5
7,1.0,short,low,M3 Opt,0.0012192249298095704,35,81.4,5,0,0,5
7,1.0,short,high,M1 Opt,0.003028583526611328,106.2,216.4,5,0,0,5
7,1.0,short,high,M2 Opt,0.001146411895751953,57.6,84.2,5,0,0,5
7,1.0,short,high,M3 Opt,0.0005872249603271484,27.6,61.2,5,0,0,5
7,1.0,long,low,M1 Opt,0.0033627986907958985,107.4,220,5,0,0,5
7,1.0,long,low,M2 Opt,0.0010863304138183593,57.6,84.2,5,0,0,5
7,1.0,long,low,M3 Opt,0.0011292457580566405,35,81.4,5,0,0,5
7,1.0,long,high,M1 Opt,0.002888774871826172,107.4,220,5,0,0,5
7,1.0,long,high,M2 Opt,0.0011884212493896485,57.6,84.2,5,0,0,5
7,1.0,long,high,M3 Opt,0.0006929397583007813,27.6,61.2,5,0,0,5
7,1.2,short,low,M1 Opt,0.004185390472412109,107.4,218.4,5,0,0,5
7,1.2,short,low,M2 Opt,0.0015402793884277343,58.4,84.2,5,0,0,5
7,1.2,short,low,M3 Opt,0.0023207664489746094,35,81.8,5,0,0,5
7,1.2,short,high,M1 Opt,0.0028081893920898437,107.4,218.4,5,0,0,5
7,1.2,short,high,M2 Opt,0.001085186004638672,58.4,84.2,5,0,0,5
7,1.2,short,high,M3 Opt,0.0005146503448486328,26.6,58.4,5,0,0,5
7,1.2,long,low,M1 Opt,0.0032242774963378907,108.6,222,5,0,0,5
7,1.2,long,low,M2 Opt,0.0011461734771728515,58.4,84.2,5,0,0,5
7,1.2,long,low,M3 Opt,0.001281595230102539,35,81.8,5,0,0,5
7,1.2,long,high,M1 Opt,0.002672624588012695,108.6,222,5,0,0,5
7,1.2,long,high,M2 Opt,0.0011101722717285155,58.4,84.2,5,0,0,5
7,1.2,long,high,M3 Opt,0.0006279945373535156,26.6,58.4,5,0,0,5
10,1.0,short,low,M1 Opt,0.01271071434020996,190.6,381.6,5,0,0,5
10,1.0,short,low,M2 Opt,0.0035363197326660155,104.6,154.2,5,0,0,5
10,1.0,short,low,M3 Opt,0.002089118957519531,65,153.8,5,0,0,5
10,1.0,short,high,M1 Opt,0.007044029235839844,190.8,382.2,5,0,0,5
10,1.0,short,high,M2 Opt,0.0029019832611083983,104.6,150.8,5,0,0,5
10,1.0,short,high,M3 Opt,0.0009584426879882812,44,98.4,5,0,0,5
10,1.0,long,low,M1 Opt,0.007707548141479492,195.6,396.6,5,0,0,5
10,1.0,long,low,M2 Opt,0.002693653106689453,104.6,150.8,5,0,0,5
10,1.0,long,low,M3 Opt,0.001641559600830078,65,153.8,5,0,0,5
10,1.0,long,high,M1 Opt,0.005760622024536133,195.6,396.6,5,0,0,5
10,1.0,long,high,M2 Opt,0.0029296398162841795,104.6,150.8,5,0,0,5
10,1.0,long,high,M3 Opt,0.0009747982025146484,44,98.4,5,0,0,5
10,1.2,short,low,M1 Opt,0.008817434310913086,196.4,395,5,0,0,5
10,1.2,short,low,M2 Opt,0.002575206756591797,106.6,155.2,5,0,0,5
10,1.2,short,low,M3 Opt,0.0030131816864013674,65,155.6,5,0,0,5
10,1.2,short,high,M1 Opt,0.006209278106689453,192.8,387.8,5,0,0,5
10,1.2,short,high,M2 Opt,0.0023622989654541017,104.8,154.4,5,0,0,5
10,1.2,short,high,M3 Opt,0.0013192176818847656,49.8,114.4,5,0,0,5
10,1.2,long,low,M1 Opt,0.007521438598632813,196,396.2,5,0,0,5
10,1.2,long,low,M2 Opt,0.0019872188568115234,105.4,154.4,5,0,0,5
10,1.2,long,low,M3 Opt,0.0016905784606933594,65,154.4,5,0,0,5
10,1.2,long,high,M1 Opt,0.005797958374023438,193.2,391.4,5,0,0,5
10,1.2,long,high,M2 Opt,0.0023869991302490233,103.6,156.2,5,0,0,5
10,1.2,long,high,M3 Opt,0.001008749008178711,49.2,111.6,5,0,0,5
13,1.0,short,low,M1 Opt,0.016666412353515625,298.6,593.6,5,0,0,5
13,1.0,short,low,M2 Opt,0.004603385925292969,163.6,251.8,5,0,0,5
13,1.0,short,low,M3 Opt,0.003700590133666992,104,247.4,5,0,0,5
13,1.0,short,high,M1 Opt,0.015276432037353516,298.6,594.4,5,0,0,5
13,1.0,short,high,M2 Opt,0.004622411727905273,163.2,253.4,5,0,0,5
13,1.0,short,high,M3 Opt,0.002065753936767578,75.8,174,5,0,0,5
13,1.0,long,low,M1 Opt,0.014542818069458008,314.2,633.6,5,0,0,5
13,1.0,long,low,M2 Opt,0.004058647155761719,167,240.2,5,0,0,5
13,1.0,long,low,M3 Opt,0.0026795387268066405,104,250.4,5,0,0,5
13,1.0,long,high,M1 Opt,0.015200614929199219,314.4,635,5,0,0,5
13,1.0,long,high,M2 Opt,0.00407562255859375,166.6,240.2,5,0,0,5
13,1.0,long,high,M3 Opt,0.001566600799560547,74,171.4,5,0,0,5
13,1.2,short,low,M1 Opt,0.015152263641357421,306.2,607.2,5,0,0,5
13,1.2,short,low,M2 Opt,0.005725574493408203,168.2,258.4,5,0,0,5
13,1.2,short,low,M3 Opt,0.0027895450592041017,104,251.2,5,0,0,5
13,1.2,short,high,M1 Opt,0.014411401748657227,306.2,607.2,5,0,0,5
13,1.2,short,high,M2 Opt,0.004964590072631836,168.2,258.4,5,0,0,5
13,1.2,short,high,M3 Opt,0.00211639404296875,77,180.2,5,0,0,5
13,1.2,long,low,M1 Opt,0.020247745513916015,318.4,643.8,5,0,0,5
