n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,1.0,short,low,M1 Opt,0.00034961700439453127,24.6,51.2,5,0,0,5
3,1.0,short,low,M2 Opt,0.00026240348815917967,13.8,24,5,0,0,5
3,1.0,short,low,M3 Opt,0.00021500587463378905,9,18.6,5,0,0,5
3,1.0,short,high,M1 Opt,0.00027737617492675783,24.6,51.2,5,0,0,5
3,1.0,short,high,M2 Opt,0.0002106189727783203,13.8,24,5,0,0,5
3,1.0,short,high,M3 Opt,0.00020918846130371093,7.4,13.8,5,0,0,5
3,1.0,long,low,M1 Opt,0.0004581451416015625,24.6,51.2,5,0,0,5
3,1.0,long,low,M2 Opt,0.00020322799682617187,13.8,24,5,0,0,5
3,1.0,long,low,M3 Opt,0.000274658203125,9,18.6,5,0,0,5
3,1.0,long,high,M1 Opt,0.00023565292358398437,24.6,51.2,5,0,0,5
3,1.0,long,high,M2 Opt,0.00022554397583007812,13.8,24,5,0,0,5
3,1.0,long,high,M3 Opt,0.0001800537109375,7.4,13.8,5,0,0,5
3,1.2,short,low,M1 Opt,0.00038127899169921876,24.6,51.2,5,0,0,5
3,1.2,short,low,M2 Opt,0.0002029895782470703,13.8,24,5,0,0,5
3,1.2,short,low,M3 Opt,0.00019741058349609375,9,18.6,5,0,0,5
3,1.2,short,high,M1 Opt,0.00023899078369140624,24.6,51.2,5,0,0,5
3,1.2,short,high,M2 Opt,0.0001842498779296875,13.8,24,5,0,0,5
3,1.2,short,high,M3 Opt,0.00026416778564453125,7.4,13.8,5,0,0,5
3,1.2,long,low,M1 Opt,0.0003169536590576172,24.6,51.2,5,0,0,5
3,1.2,long,low,M2 Opt,0.00022215843200683593,13.8,24,5,0,0,5
3,1.2,long,low,M3 Opt,0.00019073486328125,9,18.6,5,0,0,5
3,1.2,long,high,M1 Opt,0.0003014087677001953,24.6,51.2,5,0,0,5
3,1.2,long,high,M2 Opt,0.00019483566284179689,13.8,24,5,0,0,5
3,1.2,long,high,M3 Opt,0.0001685619354248047,7.4,13.8,5,0,0,5
5,1.0,short,low,M1 Opt,0.0022318363189697266,57.4,118,5,0,0,5
5,1.0,short,low,M2 Opt,0.0007728099822998047,31.6,49.8,5,0,0,5
5,1.0,short,low,M3 Opt,0.0004658222198486328,20,44.2,5,0,0,5
5,1.0,short,high,M1 Opt,0.0011296272277832031,57.4,118,5,0,0,5
5,1.0,short,high,M2 Opt,0.0005750179290771485,31.6,49.8,5,0,0,5
5,1.0,short,high,M3 Opt,0.0007430076599121094,16.8,35,5,0,0,5
5,1.0,long,low,M1 Opt,0.002088594436645508,57.4,118,5,0,0,5
5,1.0,long,low,M2 Opt,0.0007466316223144531,31.6,49.8,5,0,0,5
5,1.0,long,low,M3 Opt,0.000569009780883789,20,44.2,5,0,0,5
5,1.0,long,high,M1 Opt,0.0010684013366699218,57.4,118,5,0,0,5
5,1.0,long,high,M2 Opt,0.0006220817565917968,31.6,49.8,5,0,0,5
5,1.0,long,high,M3 Opt,0.0004347324371337891,16.8,35,5,0,0,5
5,1.2,short,low,M1 Opt,0.0020396232604980467,57.4,118,5,0,0,5
5,1.2,short,low,M2 Opt,0.0006139755249023437,31.6,49.8,5,0,0,5
5,1.2,short,low,M3 Opt,0.00047659873962402344,20,44.2,5,0,0,5
5,1.2,short,high,M1 Opt,0.0008348464965820312,57.4,118,5,0,0,5
5,1.2,short,high,M2 Opt,0.00047178268432617186,31.6,49.8,5,0,0,5
5,1.2,short,high,M3 Opt,0.0004734516143798828,16.6,34.4,5,0,0,5
5,1.2,long,low,M1 Opt,0.0018828392028808593,57.4,118,5,0,0,5
5,1.2,long,low,M2 Opt,0.0005936145782470704,31.6,49.8,5,0,0,5
5,1.2,long,low,M3 Opt,0.0005573749542236329,20,44.2,5,0,0,5
5,1.2,long,high,M1 Opt,0.001051044464111328,57.4,118,5,0,0,5
5,1.2,long,high,M2 Opt,0.0005627155303955078,31.6,49.8,5,0,0,5
5,1.2,long,high,M3 Opt,0.0005812168121337891,16.6,34.4,5,0,0,5
7,1.0,short,low,M1 Opt,0.0034113407135009767,106.2,216.4,5,0,0,5
7,1.0,short,low,M2 Opt,0.001105022430419922,57.6,84.2,5,0,0,5
7,1.0,short,low,M3 Opt,0.0012481689453125,35,81.4,5,0,0,5
7,1.0,short,high,M1 Opt,0.0032005786895751955,106.2,216.4,5,0,0,5
7,1.0,short,high,M2 Opt,0.001298236846923828,57.6,84.2,5,0,0,5
7,1.0,short,high,M3 Opt,0.0006227970123291015,27.6,61.2,5,0,0,5
7,1.0,long,low,M1 Opt,0.0035734176635742188,107.4,220,5,0,0,5
7,1.0,long,low,M2 Opt,0.0011334419250488281,57.6,84.2,5,0,0,5
7,1.0,long,low,M3 Opt,0.0012823104858398437,35,81.4,5,0,0,5
7,1.0,long,high,M1 Opt,0.0029141902923583984,107.4,220,5,0,0,5
7,1.0,long,high,M2 Opt,0.0012416362762451172,57.6,84.2,5,0,0,5
7,1.0,long,high,M3 Opt,0.0006947994232177734,27.6,61.2,5,0,0,5
7,1.2,short,low,M1 Opt,0.0033236026763916017,107.4,218.4,5,0,0,5
7,1.2,short,low,M2 Opt,0.0010774612426757812,58.4,84.2,5,0,0,5
7,1.2,short,low,M3 Opt,0.0010918617248535157,35,81.8,5,0,0,5
7,1.2,short,high,M1 Opt,0.0025209426879882813,107.4,218.4,5,0,0,5
7,1.2,short,high,M2 Opt,0.0010874271392822266,58.4,84.2,5,0,0,5
7,1.2,short,high,M3 Opt,0.0005454063415527344,26.6,58.4,5,0,0,5
7,1.2,long,low,M1 Opt,0.003959846496582031,108.6,222,5,0,0,5
7,1.2,long,low,M2 Opt,0.001106595993041992,58.4,84.2,5,0,0,5
7,1.2,long,low,M3 Opt,0.0011697769165039062,35,81.8,5,0,0,5
7,1.2,long,high,M1 Opt,0.002581787109375,108.6,222,5,0,0,5
7,1.2,long,high,M2 Opt,0.000982809066772461,58.4,84.2,5,0,0,5
7,1.2,long,high,M3 Opt,0.0005834102630615234,26.6,58.4,5,0,0,5
