n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
10,1.0,short,low,42,M3 Base,2,8.0,0.0023920536041259766,0.004561901092529297,4,4,65,136
10,1.0,short,low,42,M3 Opt,2,8.0,0.003055095672607422,0.0051991939544677734,4,4,65,147
10,1.0,short,low,43,M3 Base,2,10.0,0.0019071102142333984,0.0043430328369140625,5,5,65,142
10,1.0,short,low,43,M3 Opt,2,10.0,0.0029060840606689453,0.004967212677001953,5,5,65,153
10,1.0,short,low,44,M3 Base,2,8.0,0.005529165267944336,0.0075991153717041016,4,4,65,146
10,1.0,short,low,44,M3 Opt,2,8.0,0.004260063171386719,0.0064849853515625,4,4,65,157
10,1.0,short,low,45,M3 Base,2,8.0,0.0024650096893310547,0.004502058029174805,4,4,65,144
10,1.0,short,low,45,M3 Opt,2,8.0,0.003980875015258789,0.0060710906982421875,4,4,65,155
10,1.0,short,low,46,M3 Base,2,8.0,0.002207040786743164,0.004276275634765625,4,4,65,146
10,1.0,short,low,46,M3 Opt,2,8.0,0.00286102294921875,0.0049779415130615234,4,4,65,157
10,1.0,short,high,42,M3 Base,2,12.0,0.0012998580932617188,0.002937793731689453,6,6,47,95
10,1.0,short,high,42,M3 Opt,2,12.0,0.0011360645294189453,0.0025899410247802734,6,6,47,106
10,1.0,short,high,43,M3 Base,2,14.0,0.0005278587341308594,0.001529693603515625,7,7,38,70
10,1.0,short,high,43,M3 Opt,2,14.0,0.0008208751678466797,0.0018701553344726562,7,7,38,81
10,1.0,short,high,44,M3 Base,2,12.0,0.0008838176727294922,0.0020868778228759766,6,6,45,91
10,1.0,short,high,44,M3 Opt,2,12.0,0.0024619102478027344,0.003797292709350586,6,6,45,102
10,1.0,short,high,45,M3 Base,2,12.0,0.0011310577392578125,0.0023381710052490234,6,6,40,76
10,1.0,short,high,45,M3 Opt,2,12.0,0.001127004623413086,0.0023832321166992188,6,6,40,87
10,1.0,short,high,46,M3 Base,2,10.0,0.003058910369873047,0.004540205001831055,5,5,50,105
10,1.0,short,high,46,M3 Opt,2,10.0,0.003407001495361328,0.005074739456176758,5,5,50,116
10,1.0,long,low,42,M3 Base,2,8.0,0.002195119857788086,0.004619121551513672,4,4,65,136
10,1.0,long,low,42,M3 Opt,2,8.0,0.003545999526977539,0.0056879520416259766,4,4,65,147
10,1.0,long,low,43,M3 Base,2,10.0,0.0018701553344726562,0.003814220428466797,5,5,65,142
10,1.0,long,low,43,M3 Opt,2,10.0,0.005115032196044922,0.0071561336517333984,5,5,65,153
10,1.0,long,low,44,M3 Base,2,8.0,0.004436016082763672,0.006444215774536133,4,4,65,146
10,1.0,long,low,44,M3 Opt,2,8.0,0.008133172988891602,0.010359048843383789,4,4,65,157
