T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,I,M2 Base,11,0.012514034907023111,154,374,3,0,0,3
3,I,M2 Opt,11,0.00553139050801595,98,230,3,0,0,3
3,II,M2 Base,16.333333333333332,0.05747803052266439,316,817.3333333333334,3,0,0,3
3,II,M2 Opt,16.333333333333332,0.00939162572224935,189.33333333333334,473,3,0,0,3
3,III,M2 Base,21.666666666666668,0.22789128621419272,534.6666666666666,1430.6666666666667,3,0,0,3
3,III,M2 Opt,21.666666666666668,0.01580206553141276,309,801,3,0,0,3
3,IV,M2 Base,27.333333333333332,4.174347956975301,829.3333333333334,2269.3333333333335,3,0,0,3
3,IV,M2 Opt,27.333333333333332,0.07105302810668945,467,1243,3,0,0,3
3,V,M2 Base,32.666666666666664,1.6436049143473308,1165.3333333333333,3234.6666666666665,3,0,0,3
3,V,M2 Opt,32.666666666666664,0.16200693448384604,645.3333333333334,1747,3,0,0,3
3,VI,M2 Base,37.333333333333336,199.29132493336996,1508.6666666666667,4227.333333333333,3,0,0,3
3,VI,M2 Opt,37.333333333333336,0.44345871607462567,821.6666666666666,2262,3,0,0,3
3,VII,M2 Base,32.666666666666664,1.0821839968363445,1165.3333333333333,3234.6666666666665,3,0,0,3
3,VII,M2 Opt,32.666666666666664,0.45998700459798175,645.3333333333334,1747,3,0,0,3
5,I,M2 Base,13,0.09440279006958008,234,520,3,0,0,3
5,I,M2 Opt,13,0.00508268674214681,150,311,3,0,0,3
5,II,M2 Base,19.666666666666668,0.566270669301351,485.3333333333333,1180.6666666666667,3,0,0,3
5,II,M2 Opt,19.666666666666668,0.015241066614786783,293,668,3,0,0,3
5,III,M2 Base,25.666666666666668,5.5276570320129395,787.3333333333334,2002.6666666666667,3,0,0,3
5,III,M2 Opt,25.666666666666668,0.06679375966389973,459.3333333333333,1103,3,0,0,3
5,IV,M2 Base,31.333333333333332,5.068727731704712,1138.6666666666667,2977.3333333333335,3,0,0,3
5,IV,M2 Opt,31.333333333333332,2.6885083516438804,650.3333333333334,1613,3,0,0,3
5,V,M2 Base,38.333333333333336,9.523861010869345,1661.3333333333333,4447.333333333333,3,0,0,3
5,V,M2 Opt,38.333333333333336,0.14159035682678223,929.3333333333334,2376,3,0,0,3
5,VI,M2 Base,51.333333333333336,110.22968188921611,2898.6666666666665,7977.333333333333,3,0,0,3
5,VI,M2 Opt,51.333333333333336,0.9513629277547201,1561.6666666666667,4193,3,0,0,3
5,VII,M2 Base,38.333333333333336,6.176591237386067,1661.3333333333333,4447.333333333333,3,0,0,3
5,VII,M2 Opt,38.333333333333336,0.19229801495869955,928.6666666666666,2376,3,0,0,3
7,I,M2 Base,15,0.11041561762491862,330,690,3,0,0,3
7,I,M2 Opt,15,0.010520060857137045,210,404,3,0,0,3
7,II,M2 Base,23.666666666666668,0.5715780258178711,726,1704.6666666666667,3,0,0,3
7,II,M2 Opt,23.666666666666668,0.030588070551554363,430.3333333333333,946,3,0,0,3
7,III,M2 Base,29.333333333333332,5.253079970677693,1066,2611.3333333333335,3,0,0,3
7,III,M2 Opt,29.333333333333332,0.06580702463785808,621.6666666666666,1422,3,0,0,3
7,IV,M2 Base,37,1.4645987351735432,1628.6666666666667,4146,3,0,0,3
7,IV,M2 Opt,37,0.08551875750223796,926,2220,3,0,0,3
7,V,M2 Base,44,305.9081536928813,2244.6666666666665,5854,2,1,0,3
7,V,M2 Opt,44,3.12687095006307,1256,3102,3,0,0,3
7,VI,M2 Base,64,133.67341661453247,4562,12406,3,0,0,3
7,VI,M2 Opt,64,1.2920722961425781,2435.3333333333335,6458,3,0,0,3
7,VII,M2 Base,44,37.06490135192871,2244.6666666666665,5854,3,0,0,3
7,VII,M2 Opt,44,0.3038225968678792,1256.3333333333333,3102,3,0,0,3
