n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
7,1.0,short,low,42,M1 Opt,2,6.0,0.022357940673828125,0.4144740104675293,3,3,111,228
7,1.0,short,low,42,M2 Opt,2,6.0,0.0011849403381347656,0.002161264419555664,3,3,59,83
7,1.0,short,low,42,M3 Opt,2,6.0,0.0012099742889404297,0.002257823944091797,3,3,35,83
7,1.0,short,low,43,M1 Opt,2,6.0,0.003098011016845703,0.005109071731567383,3,3,107,220
7,1.0,short,low,43,M2 Opt,2,6.0,0.0010819435119628906,0.0020170211791992188,3,3,57,83
7,1.0,short,low,43,M3 Opt,2,6.0,0.0010340213775634766,0.0019240379333496094,3,3,35,81
7,1.0,short,low,44,M1 Opt,2,6.0,0.005049943923950195,0.0070149898529052734,3,3,99,202
7,1.0,short,low,44,M2 Opt,2,6.0,0.001750946044921875,0.0028963088989257812,3,3,54,89
7,1.0,short,low,44,M3 Opt,2,6.0,0.0013921260833740234,0.002351999282836914,3,3,35,78
7,1.0,short,low,45,M1 Opt,2,6.0,0.004034996032714844,0.006259918212890625,3,3,101,204
7,1.0,short,low,45,M2 Opt,2,6.0,0.0013091564178466797,0.0024127960205078125,3,3,56,83
7,1.0,short,low,45,M3 Opt,2,6.0,0.001363992691040039,0.002271890640258789,3,3,35,80
7,1.0,short,low,46,M1 Opt,2,6.0,0.004250049591064453,0.006360054016113281,3,3,113,228
7,1.0,short,low,46,M2 Opt,2,6.0,0.0012030601501464844,0.0021598339080810547,3,3,62,83
7,1.0,short,low,46,M3 Opt,2,6.0,0.0010960102081298828,0.0019791126251220703,3,3,35,85
7,1.0,short,high,42,M1 Opt,2,8.0,0.004127979278564453,0.006315946578979492,4,4,111,228
7,1.0,short,high,42,M2 Opt,2,8.0,0.0015170574188232422,0.0026459693908691406,4,4,59,83
7,1.0,short,high,42,M3 Opt,2,8.0,0.0004420280456542969,0.0010330677032470703,4,4,24,52
7,1.0,short,high,43,M1 Opt,2,8.0,0.003061056137084961,0.005003929138183594,4,4,107,220
7,1.0,short,high,43,M2 Opt,2,8.0,0.0008909702301025391,0.0018308162689208984,4,4,57,83
7,1.0,short,high,43,M3 Opt,2,8.0,0.0004260540008544922,0.0010390281677246094,4,4,28,62
7,1.0,short,high,44,M1 Opt,2,8.0,0.0027658939361572266,0.004364013671875,4,4,99,202
7,1.0,short,high,44,M2 Opt,2,8.0,0.0012080669403076172,0.0023670196533203125,4,4,54,89
7,1.0,short,high,44,M3 Opt,2,8.0,0.0007350444793701172,0.0013530254364013672,4,4,28,61
7,1.0,short,high,45,M1 Opt,2,8.0,0.001920938491821289,0.003535747528076172,4,4,101,204
7,1.0,short,high,45,M2 Opt,2,8.0,0.0009629726409912109,0.0017271041870117188,4,4,56,83
7,1.0,short,high,45,M3 Opt,2,8.0,0.0008809566497802734,0.0014698505401611328,4,4,29,64
7,1.0,short,high,46,M1 Opt,2,8.0,0.003267049789428711,0.005194902420043945,4,4,113,228
7,1.0,short,high,46,M2 Opt,2,8.0,0.0011529922485351562,0.002256155014038086,4,4,62,83
7,1.0,short,high,46,M3 Opt,2,8.0,0.0004520416259765625,0.001123189926147461,4,4,29,67
7,1.0,long,low,42,M1 Opt,2,6.0,0.003731966018676758,0.005703926086425781,3,3,111,228
7,1.0,long,low,42,M2 Opt,2,6.0,0.0011739730834960938,0.0021529197692871094,3,3,59,83
7,1.0,long,low,42,M3 Opt,2,6.0,0.0008370876312255859,0.001657247543334961,3,3,35,83
7,1.0,long,low,43,M1 Opt,2,6.0,0.0029649734497070312,0.004855155944824219,3,3,103,208
7,1.0,long,low,43,M2 Opt,2,6.0,0.0009529590606689453,0.0017809867858886719,3,3,57,83
7,1.0,long,low,43,M3 Opt,2,6.0,0.0009160041809082031,0.0016460418701171875,3,3,35,81
7,1.0,long,low,44,M1 Opt,2,6.0,0.0028629302978515625,0.004541873931884766,3,3,101,208
7,1.0,long,low,44,M2 Opt,2,6.0,0.0013339519500732422,0.0022079944610595703,3,3,54,89
7,1.0,long,low,44,M3 Opt,2,6.0,0.0012450218200683594,0.0019989013671875,3,3,35,78
7,1.0,long,low,45,M1 Opt,2,6.0,0.003571033477783203,0.006283998489379883,3,3,105,216
7,1.0,long,low,45,M2 Opt,2,6.0,0.0009589195251464844,0.001810312271118164,3,3,56,83
7,1.0,long,low,45,M3 Opt,2,6.0,0.0017290115356445312,0.002560853958129883,3,3,35,80
7,1.0,long,low,46,M1 Opt,2,6.0,0.0036830902099609375,0.00575709342956543,3,3,117,240
7,1.0,long,low,46,M2 Opt,2,6.0,0.0010118484497070312,0.00197601318359375,3,3,62,83
7,1.0,long,low,46,M3 Opt,2,6.0,0.0009191036224365234,0.0017688274383544922,3,3,35,85
7,1.0,long,high,42,M1 Opt,2,8.0,0.0029320716857910156,0.00474858283996582,4,4,111,228
7,1.0,long,high,42,M2 Opt,2,8.0,0.0014960765838623047,0.002301931381225586,4,4,59,83
7,1.0,long,high,42,M3 Opt,2,8.0,0.0004699230194091797,0.0010101795196533203,4,4,24,52
7,1.0,long,high,43,M1 Opt,2,8.0,0.0028018951416015625,0.004593849182128906,4,4,103,208
7,1.0,long,high,43,M2 Opt,2,8.0,0.0011341571807861328,0.0023729801177978516,4,4,57,83
7,1.0,long,high,43,M3 Opt,2,8.0,0.0005707740783691406,0.0015499591827392578,4,4,28,62
7,1.0,long,high,44,M1 Opt,2,8.0,0.0033447742462158203,0.005208015441894531,4,4,101,208
7,1.0,long,high,44,M2 Opt,2,8.0,0.0012760162353515625,0.0022661685943603516,4,4,54,89
7,1.0,long,high,44,M3 Opt,2,8.0,0.0011298656463623047,0.0017621517181396484,4,4,28,61
7,1.0,long,high,45,M1 Opt,2,8.0,0.0022110939025878906,0.004032135009765625,4,4,105,216
7,1.0,long,high,45,M2 Opt,2,8.0,0.001027822494506836,0.0018429756164550781,4,4,56,83
7,1.0,long,high,45,M3 Opt,2,8.0,0.0008502006530761719,0.0014431476593017578,4,4,29,64
7,1.0,long,high,46,M1 Opt,2,8.0,0.0031540393829345703,0.005061149597167969,4,4,117,240
